NDNL REPORT FOR VOYAGE: 0VCCSW1MA

BOOKING,WORKFLOW,MOVE_TERMS,AES,AES_EXT,BOOKED DATE,SERVICE,VOYAGE,INLAND RAMP,RAMP CUT,PORT CUT,SAIL_DATE,STATUS,ORIGIN,POL,PTS,POD,FPD,CONTRACT,QUOTE,COMMODITY_CODE,COMMODITY,COMMODITY_BOC,OVERSIZE,HAZ,SIZE_TYPE,UNITS,TEUS,ASSIGNED CONTS,RECEIVED CONTS,PARTNER_CODE,SHIP_CAT,FULL_NAME,CITY_STATE,BKG_REMARKS,FINAL_SALES_REP,FINAL_SALES_AREA
"NAM5420007"," -","PP","null","null","2022-06-08 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-1883","null","020329","Frozen meat of swine (excl. ca","swine","N","N","40RH","1","2","0","0","0005971080","BLUE WATER SHIPPING US INC","BLUE WATER SHIPPING US INC","null","RFBOOKINGS@BWS.DK","LAUREN GAINES","USRFR",
"NAM5543821","71CA - VIP - BOOKED NO DOC","PP","null","null","2022-07-22 18:59:07","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","null","CNTAO","null","22-5078","null","470100","Mechanical wood pulp, not chem","Mechanical wood pulp, not chem","N","N","40HC","2","4","0","0","0003358180","CELLMARK INC","CELLMARK INC","null","BENJAMIN.JIANG@CELLMARK.COM","YUBIN YIN","USTRD",
"NAM5581702","00ND - BOOKED - NO DOCS","PP","null","null","2022-08-08 02:56:42","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","CNSHA","CNWUH","null","21-2215","null","844331","Machines which perform two or","MACHINES WHICH PERFORM TWO OR","N","N","40HC","3","6","0","0","0002183630","KCL LOGISTICS INC","KCL LOGISTICS INC","null","DOCUMENT@KCLLOGISTICS.COM","BONNIE FITTS","USWCR",
"NAM5619058","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-08-19 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0515","null","392010","Plates, sheets, film, foil and","PLASTIC FILM","N","N","40RC","1","2","0","0","0004087550","BLUE WORLD LINE","BLUE WORLD LINE","null","ANGELA.REEVES@JAS.COM","CLAUDE-BERNARD LEVEQUE","STRAT NVO",
"NAM5619149","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-08-19 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0515","null","392190","Plates, sheets, film, foil and","plastic film","N","N","40RC","1","2","0","0","0004087550","BLUE WORLD LINE","BLUE WORLD LINE","null","ANGELA.REEVES@JAS.COM","CLAUDE-BERNARD LEVEQUE","STRAT NVO",
"NAM5631309B","71CA - VIP - BOOKED NO DOC","RP","null","null","2022-10-05 00:00:00","VESPEC","0VCCSW1MA","USSTPRBNS","2022-10-24 20:00:00","2022-10-31 10:00","2022-11-2 15:00","1","USSTP","USNYC","null","CNSHA","null","19-2293","null","842199","Parts of machinery and apparat","FILMTEC(TM) MEMBRANES 00243548","N","N","40HC","1","2","1","1","0003792204","FILM TEC CORPORATION","FILM TEC CORPORATION","EDINA, MN","SHARRAH.BROWN@BDPINT.COM","ANDREW GOULET","USNER",
"NAM5631425B","1NVR - NVR - VIP - BOOKED NO DOCS","RP","null","null","2022-10-25 00:00:00","VESPEC","0VCCSW1MA","USSTPRBNS","2022-10-20 15:00:00","2022-10-31 10:00","2022-11-2 15:00","0","USMES","USNYC","null","CNSHA","null","22-2293","null","842199","Parts of machinery and apparat","FILMTEC(TM) MEMBRANES 00243548","N","N","40HC","1","2","1","0","0003792204","FILM TEC CORPORATION","FILM TEC CORPORATION","EDINA, MN","SHARRAH.BROWN@BDPINT.COM","ANDREW GOULET","USNER",
"NAM5641952","00ND - BOOKED - NO DOCS","PP","null","null","2022-08-29 21:26:58","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","null","USSAV","null","CNNGB","null","22-2254","null","840790","Sparkignition reciprocating o","FAK Sparkignition","N","N","40HC","1","2","0","0","0000254441","CH ROBINSON INTERNATIONAL INC","CH ROBINSON INTERNATIONAL INC","null","ERICA.OCASIO@CHROBINSON.COM","JIM PARK","STRAT NVO",
"NAM5645852","6NVR - NVR - SPECIALIZED - BOOKED NO DOCS","PP","null","null","2022-08-31 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","Frozen meat of swine (excl. ca","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","null","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5645853","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-08-30 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","frozen pork","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","null","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5653399B","71CA - VIP - BOOKED NO DOC","DP","null","null","2022-10-27 00:00:00","VESPEC","0VCCSW1MA","USMEMRNSR","2022-11-20 20:00:00","2022-11-25 11:00","2022-11-28 01:00","1","USCRX","USSAV","CNSHA","CNNKG","null","22-0502","null","560393","Nonwovens, whether or not impr","NONWOVEN MATERIAL","N","N","40HC","2","4","0","0","0006640633","KIMBERLY CLARK GLOBAL SALES LLC","KIMBERLY CLARK GLOBAL SALES LLC","null","WILLIAM.KLEIN@KUEHNE-NAGEL.COM","MICHAEL CHASE","USSAR",
"NAM5654746","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-02 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-0241","null","691190","Household and toilet articles,","CONSOLIDATED CARGO","N","N","40HC","1","2","0","0","0000257224","EXPEDITORS INTL OF WASH INC","EXPEDITORS INTL OF WASH INC","null","GIUSEPPE.COSTANZO@EXPEDITORS.COM","JAMES YURKO","STRAT NVO",
"NAM5655034","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-02 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-0241","null","691190","Household and toilet articles,","CONSOL CARGO","N","N","40HC","1","2","0","0","0000257224","EXPEDITORS INTL OF WASH INC","EXPEDITORS INTL OF WASH INC","null","GIUSEPPE.COSTANZO@EXPEDITORS.COM","JAMES YURKO","STRAT NVO",
"NAM5656585","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-02 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","FROZEN PORK","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","SMITHFIELD, VA","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5659089","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-06 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","null","CNSHA","null","22-5023","null","440795","Ash (Fraxinus spp.) sawn or ch","WOOD","N","N","40HC","4","8","0","0","0000018543","CAROLINA OCEAN LINES INC","CAROLINA OCEAN LINES INC","null","MATKINSON@TMXSHIP.COM","DERON HAGADORN","USSAR",
