Strongly Outperforming Benchmark Index,
Date: 01-Sep-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Adani Transmission Ltd.,ADANITRANS,NSE,Power,Power Generation/Distribution,NIFTY 50,0.70,3880.45,-2.00,"ADANITRANS,"
Dhani Services Ltd.,DHANI,NSE,Finance,Finance - Stock Broking,NIFTY 50,0.47,68.60,5.00,"DHANI,"
Mazagon Dock Shipbuilders Ltd.,MAZDOCK,NSE,Ship Building,Ship Building,NIFTY 50,0.43,402.50,2.80,"MAZDOCK,"
Adani Enterprises Ltd.,ADANIENT,NSE,Trading,Trading,NIFTY 50,0.40,3233.25,1.20,"ADANIENT,"
Adani Total Gas Ltd.,ATGL,NSE,Gas Transmission,Gas Transmission/Marketing,NIFTY 50,0.40,3639.25,-2.80,"ATGL,"
KRBL Ltd.,KRBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.40,328.55,4.60,"KRBL,"
BEML Ltd.,BEML,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.39,1875.25,1.50,"BEML,"
Adani Power Ltd.,ADANIPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.38,408.50,-1.30,"ADANIPOWER,"
JSW Energy Ltd.,JSWENERGY,NSE,Power,Power Generation/Distribution,NIFTY 50,0.38,353.25,3.60,"JSWENERGY,"
Bajaj Finserv Ltd.,BAJAJFINSV,NSE,Finance,Finance - Investment,NIFTY 50,0.37,17406.40,2.60,"BAJAJFINSV,"
Hinduja Global Solutions Ltd.,HGS,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.37,1488.10,-0.50,"HGS,"
Karur Vysya Bank Ltd.,KARURVYSYA,NSE,Banking,Bank - Private,NIFTY 50,0.37,71.00,3.40,"KARURVYSYA,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,NIFTY 50,0.36,484.55,-1.90,"CAMPUS,"
The Great Eastern Shipping Company Ltd.,GESHIP,NSE,Logistics,Shipping,NIFTY 50,0.36,572.30,0.50,"GESHIP,"
Tube Investments of India Ltd.,TIINDIA,NSE,Automobile & Ancillaries,Cycles,NIFTY 50,0.36,2261.15,-0.10,"TIINDIA,"
Asahi India Glass Ltd.,ASAHIINDIA,NSE,Construction Materials,Glass,NIFTY 50,0.34,639.45,-0.10,"ASAHIINDIA,"
IDFC First Bank Ltd.,IDFCFIRSTB,NSE,Banking,Bank - Private,NIFTY 50,0.34,49.15,0.00,"IDFCFIRSTB,"
Ceat Ltd.,CEATLTD,NSE,Automobile & Ancillaries,Tyres & Allied,NIFTY 50,0.33,1412.05,1.50,"CEATLTD,"
Mahindra CIE Automotive Ltd.,MAHINDCIE,NSE,Automobile & Ancillaries,Forgings,NIFTY 50,0.33,280.05,1.70,"MAHINDCIE,"
SKF India Ltd.,SKFINDIA,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.33,4856.70,0.00,"SKFINDIA,"
