Strongly Outperforming Benchmark Index,
Date: 25-Aug-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Adani Transmission Ltd.,ADANITRANS,NSE,Power,Power Generation/Distribution,NIFTY 50,0.70,3715.80,0.40,"ADANITRANS,"
Hinduja Global Solutions Ltd.,HGS,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.55,1596.75,-4.00,"HGS,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,NIFTY 50,0.39,486.45,1.30,"CAMPUS,"
Dhani Services Ltd.,DHANI,NSE,Finance,Finance - Stock Broking,NIFTY 50,0.37,65.55,5.00,"DHANI,"
Ceat Ltd.,CEATLTD,NSE,Automobile & Ancillaries,Tyres & Allied,NIFTY 50,0.33,1384.45,1.80,"CEATLTD,"
IDFC First Bank Ltd.,IDFCFIRSTB,NSE,Banking,Bank - Private,NIFTY 50,0.32,48.95,0.70,"IDFCFIRSTB,"
SKF India Ltd.,SKFINDIA,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.32,4809.10,0.60,"SKFINDIA,"
KRBL Ltd.,KRBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.31,302.20,-0.90,"KRBL,"
KSB Ltd.,KSB,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.30,1929.95,0.90,"KSB,"
Varun Beverages Ltd.,VBL,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.30,1028.30,-0.30,"VBL,"
Adani Enterprises Ltd.,ADANIENT,NSE,Trading,Trading,NIFTY 50,0.29,3066.35,-2.20,"ADANIENT,"
Asahi India Glass Ltd.,ASAHIINDIA,NSE,Construction Materials,Glass,NIFTY 50,0.29,632.80,1.50,"ASAHIINDIA,"
Karur Vysya Bank Ltd.,KARURVYSYA,NSE,Banking,Bank - Private,NIFTY 50,0.29,66.90,4.90,"KARURVYSYA,"
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,NSE,Chemicals,Fertilizers,NIFTY 50,0.28,964.55,1.10,"DEEPAKFERT,"
Mahindra CIE Automotive Ltd.,MAHINDCIE,NSE,Automobile & Ancillaries,Forgings,NIFTY 50,0.28,272.15,0.70,"MAHINDCIE,"
Adani Power Ltd.,ADANIPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.27,393.50,0.80,"ADANIPOWER,"
BEML Ltd.,BEML,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.27,1798.10,0.10,"BEML,"
Can Fin Homes Ltd.,CANFINHOME,NSE,Finance,Finance - Housing,NIFTY 50,0.27,630.30,-1.00,"CANFINHOME,"
Kalyan Jewellers India Ltd.,KALYANKJIL,NSE,Diamond & Jewellery,Diamond  &  Jewellery,NIFTY 50,0.27,81.50,1.80,"KALYANKJIL,"
Metro Brands Ltd.,METROBRAND,NSE,Retailing,Footwear,NIFTY 50,0.27,787.25,-1.80,"METROBRAND,"
Sobha Ltd.,SOBHA,NSE,Realty,Construction - Real Estate,NIFTY 50,0.27,716.50,0.90,"SOBHA,"
The Great Eastern Shipping Company Ltd.,GESHIP,NSE,Logistics,Shipping,NIFTY 50,0.27,540.80,-1.10,"GESHIP,"
Westlife Development Ltd.,WESTLIFE,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.27,628.10,1.10,"WESTLIFE,"
Adani Total Gas Ltd.,ATGL,NSE,Gas Transmission,Gas Transmission/Marketing,NIFTY 50,0.26,3365.20,-1.80,"ATGL,"
City Union Bank Ltd.,CUB,NSE,Banking,Bank - Private,NIFTY 50,0.26,189.45,6.40,"CUB,"
MAS Financial Services Ltd.,MASFIN,NSE,Finance,Finance Term Lending,NIFTY 50,0.26,728.25,1.70,"MASFIN,"
Tube Investments of India Ltd.,TIINDIA,NSE,Automobile & Ancillaries,Cycles,NIFTY 50,0.26,2093.90,1.70,"TIINDIA,"
ABB India Ltd.,ABB,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.25,3144.40,2.70,"ABB,"
Affle (India) Ltd.,AFFLE,NSE,Telecom,Telecommunication - Equipment,NIFTY 50,0.25,1328.25,3.30,"AFFLE,"
IDFC Ltd.,IDFC,NSE,Finance,Finance - NBFC,NIFTY 50,0.25,65.95,5.40,"IDFC,"
Schaeffler India Ltd.,SCHAEFFLER,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.25,3018.15,0.80,"SCHAEFFLER,"
Honeywell Automation India Ltd.,HONAUT,NSE,Consumer Durables,Consumer Durables - Electronics,NIFTY 50,0.24,42854.65,-1.00,"HONAUT,"
Radico Khaitan Ltd.,RADICO,NSE,Alcohol,Breweries & Distilleries,NIFTY 50,0.24,1037.20,0.70,"RADICO,"
Bajaj Finserv Ltd.,BAJAJFINSV,NSE,Finance,Finance - Investment,NIFTY 50,0.23,16246.30,-0.50,"BAJAJFINSV,"
