"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIENT","EQ","06-Jun-2022","       2190.00","       2188.50","       2230.00","       2168.20","       2228.00","       2225.05","       2207.80","    1664487","          3674847417.10","      44623","     482411","         28.98"
"ADANIENT","EQ","07-Jun-2022","       2225.05","       2210.00","       2254.70","       2207.05","       2219.40","       2227.55","       2228.91","    2046676","          4561866190.65","      57351","     500846","         24.47"
"ADANIENT","EQ","08-Jun-2022","       2227.55","       2244.95","       2244.95","       2158.55","       2178.00","       2177.20","       2202.14","    1530739","          3370907212.10","      49879","     193778","         12.66"
"ADANIENT","EQ","09-Jun-2022","       2177.20","       2160.30","       2224.00","       2155.00","       2218.00","       2219.20","       2189.54","    1440385","          3153776345.00","      33651","     415241","         28.83"
"ADANIENT","EQ","10-Jun-2022","       2219.20","       2190.00","       2215.00","       2171.00","       2198.75","       2203.10","       2192.57","    1305761","          2862967553.25","      38908","     172711","         13.23"
"ADANIENT","EQ","13-Jun-2022","       2203.10","       2172.50","       2172.50","       2066.75","       2082.10","       2079.75","       2119.30","    1764172","          3738801994.35","      55355","     255622","         14.49"
"ADANIENT","EQ","14-Jun-2022","       2079.75","       2274.00","       2274.00","       2053.10","       2197.60","       2196.45","       2161.83","    6515102","         14084560292.50","     184436","     878680","         13.49"
"ADANIENT","EQ","15-Jun-2022","       2196.45","       2218.40","       2219.70","       2174.20","       2176.50","       2184.60","       2193.26","    1313510","          2880874633.15","      46859","     192599","         14.66"
"ADANIENT","EQ","16-Jun-2022","       2184.60","       2205.00","       2217.30","       2076.05","       2084.95","       2083.00","       2135.55","    2131789","          4552548349.55","      61940","     356132","         16.71"
"ADANIENT","EQ","17-Jun-2022","       2083.00","       2062.00","       2137.40","       2060.15","       2110.00","       2095.80","       2101.56","    2280135","          4791850335.35","      68806","     418656","         18.36"
"ADANIENT","EQ","20-Jun-2022","       2095.80","       2107.30","       2123.30","       2025.00","       2083.90","       2079.85","       2059.09","    2603594","          5361032432.60","      69448","     835095","         32.07"
"ADANIENT","EQ","21-Jun-2022","       2079.85","       2100.00","       2177.00","       2091.65","       2159.85","       2161.80","       2135.93","    1331500","          2843992227.75","      44749","     130221","          9.78"
"ADANIENT","EQ","22-Jun-2022","       2161.80","       2149.95","       2149.95","       2077.10","       2086.00","       2089.20","       2101.66","    1774137","          3728636003.95","      64117","     163476","          9.21"
"ADANIENT","EQ","23-Jun-2022","       2089.20","       2105.00","       2128.00","       2080.00","       2114.20","       2110.35","       2105.96","    1026783","          2162360064.40","      36051","     145745","         18.46"
"ADANIENT","EQ","24-Jun-2022","       2110.35","       2121.00","       2168.00","       2108.60","       2154.95","       2161.45","       2139.29","    1156536","          2474171038.20","      33693","     279634","         24.18"
"ADANIENT","EQ","27-Jun-2022","       2161.45","       2189.00","       2211.00","       2169.35","       2182.00","       2181.60","       2188.41","    1202504","          2631570083.30","      37716","     176413","         14.67"
"ADANIENT","EQ","28-Jun-2022","       2181.60","       2170.00","       2210.25","       2160.00","       2207.00","       2204.60","       2186.15","    1282047","          2802744750.95","      37963","     308815","         24.09"
"ADANIENT","EQ","29-Jun-2022","       2204.60","       2185.00","       2247.80","       2177.20","       2211.00","       2220.10","       2214.49","    1692493","          3748016616.50","      52274","     425486","         25.14"
"ADANIENT","EQ","30-Jun-2022","       2220.10","       2220.00","       2248.50","       2180.50","       2190.00","       2190.90","       2214.04","    1568415","          3472539125.60","      46645","     513755","         32.76"
"ADANIENT","EQ","01-Jul-2022","       2190.90","       2189.90","       2242.00","       2138.25","       2229.25","       2232.20","       2192.41","    2141743","          4695581540.60","      47117","     566083","         26.43"
"ADANIENT","EQ","04-Jul-2022","       2232.20","       2232.20","       2277.00","       2228.35","       2260.90","       2261.85","       2257.28","    1581159","          3569117233.10","      45778","     363163","         22.97"
"ADANIENT","EQ","05-Jul-2022","       2261.85","       2264.00","       2290.70","       2238.00","       2243.65","       2246.45","       2265.41","    1356776","          3073660435.95","      39354","     352096","         25.95"
"ADANIENT","EQ","06-Jul-2022","       2246.45","       2245.00","       2277.00","       2236.50","       2269.00","       2272.85","       2262.28","    1045463","          2365127362.85","      25604","     364195","         34.84"
"ADANIENT","EQ","07-Jul-2022","       2272.85","       2280.00","       2294.95","       2256.00","       2274.85","       2274.30","       2273.73","     946131","          2151249937.00","      28623","     295473","         31.23"
"ADANIENT","EQ","08-Jul-2022","       2274.30","       2286.00","       2303.60","       2263.90","       2297.00","       2293.05","       2285.08","     898576","          2053314172.35","      23635","     231484","         25.76"
"ADANIENT","EQ","11-Jul-2022","       2293.05","       2293.05","       2384.60","       2291.05","       2364.50","       2373.25","       2345.62","    1967308","          4614560223.55","      65448","     325918","         16.57"
"ADANIENT","EQ","12-Jul-2022","       2373.25","       2364.40","       2389.80","       2350.15","       2359.50","       2365.65","       2373.27","    1273008","          3021186811.65","      47448","     225292","         17.70"
"ADANIENT","EQ","13-Jul-2022","       2365.65","       2373.50","       2384.65","       2333.70","       2353.10","       2353.50","       2357.09","     982185","          2315099896.65","      37511","     165310","         16.83"
"ADANIENT","EQ","14-Jul-2022","       2353.50","       2365.00","       2404.00","       2336.50","       2394.00","       2383.10","       2366.95","     933554","          2209679065.35","      34681","     181162","         19.41"
"ADANIENT","EQ","15-Jul-2022","       2383.10","       2414.50","       2422.95","       2377.00","       2401.00","       2405.25","       2400.98","    1169788","          2808640351.00","      40288","     174758","         14.94"
"ADANIENT","EQ","18-Jul-2022","       2405.25","       2424.00","       2441.85","       2406.05","       2426.60","       2423.60","       2424.10","     937204","          2271880279.35","      33675","     146809","         15.66"
"ADANIENT","EQ","19-Jul-2022","       2423.60","       2406.95","       2459.30","       2405.00","       2445.00","       2451.30","       2436.68","     843301","          2054853630.75","      34038","     122277","         14.50"
"ADANIENT","EQ","20-Jul-2022","       2451.30","       2462.00","       2472.80","       2444.00","       2446.00","       2451.10","       2456.64","     693601","          1703930835.15","      26569","     170280","         24.55"
"ADANIENT","EQ","21-Jul-2022","       2451.10","       2453.80","       2498.95","       2451.25","       2495.00","       2495.50","       2485.65","    1314165","          3266556411.55","      40031","     360242","         27.41"
"ADANIENT","EQ","22-Jul-2022","       2495.50","       2505.50","       2514.05","       2483.10","       2498.90","       2499.40","       2500.88","     833522","          2084538222.50","      31012","     193849","         23.26"
"ADANIENT","BL","25-Jul-2022","       1458.70","       2499.40","       2499.40","       2499.40","       2499.40","       2499.40","       2499.40","     324759","           811702644.60","          1","-","-"
"ADANIENT","EQ","25-Jul-2022","       2499.40","       2505.00","       2562.15","       2500.00","       2549.90","       2550.60","       2537.51","    1220351","          3096654644.20","      44274","     205964","         16.88"
"ADANIENT","EQ","26-Jul-2022","       2550.60","       2555.00","       2568.60","       2533.00","       2551.00","       2559.70","       2551.72","     865142","          2207601853.25","      33126","     125892","         14.55"
"ADANIENT","EQ","27-Jul-2022","       2559.70","       2560.00","       2572.50","       2528.00","       2546.40","       2548.70","       2553.07","     953588","          2434577477.00","      30742","     249073","         26.12"
"ADANIENT","EQ","28-Jul-2022","       2548.70","       2559.90","       2565.65","       2531.60","       2553.00","       2550.40","       2551.15","     759442","          1937453695.55","      23183","     156791","         20.65"
"ADANIENT","EQ","29-Jul-2022","       2550.40","       2565.00","       2622.00","       2560.00","       2565.90","       2569.20","       2585.58","    1107195","          2862735936.15","      37483","     261890","         23.65"
"ADANIENT","EQ","01-Aug-2022","       2569.20","       2575.85","       2669.40","       2569.20","       2655.00","       2660.15","       2626.72","    1267039","          3328154727.05","      40581","     235342","         18.57"
"ADANIENT","EQ","02-Aug-2022","       2660.15","       2660.00","       2697.00","       2640.00","       2675.00","       2683.65","       2676.62","    1096480","          2934857054.60","      40748","     232966","         21.25"
"ADANIENT","EQ","03-Aug-2022","       2683.65","       2685.00","       2717.00","       2671.20","       2714.45","       2711.40","       2694.49","     815831","          2198246880.85","      32287","     178736","         21.91"
"ADANIENT","EQ","04-Aug-2022","       2711.40","       2725.00","       2743.90","       2684.25","       2721.00","       2723.60","       2720.76","    1223799","          3329664551.70","      48196","     247231","         20.20"
"ADANIENT","EQ","05-Aug-2022","       2723.60","       2760.00","       2767.65","       2685.00","       2686.05","       2698.40","       2713.14","    1639981","          4449493510.25","      75799","     298110","         18.18"
"ADANIENT","BL","08-Aug-2022","       2499.40","       2698.40","       2698.40","       2698.40","       2698.40","       2698.40","       2698.40","     324759","           876329685.60","          1","-","-"
"ADANIENT","EQ","08-Aug-2022","       2698.40","       2700.00","       2807.65","       2695.65","       2791.00","       2791.90","       2756.06","    1581696","          4359247692.35","      53583","     412787","         26.10"
"ADANIENT","EQ","10-Aug-2022","       2791.90","       2801.75","       2834.90","       2781.55","       2826.00","       2827.20","       2812.11","    1304663","          3668859593.10","      44657","     385830","         29.57"
"ADANIENT","EQ","11-Aug-2022","       2827.20","       2841.00","       2848.40","       2815.10","       2837.40","       2834.05","       2834.79","     978616","          2774170058.50","      32142","     343095","         35.06"
"ADANIENT","EQ","12-Aug-2022","       2834.05","       2840.00","       2871.15","       2834.05","       2868.00","       2864.55","       2858.52","     843025","          2409806514.20","      33127","     210677","         24.99"
"ADANIENT","EQ","16-Aug-2022","       2864.55","       2879.00","       2986.00","       2871.00","       2979.00","       2975.85","       2942.96","    1969492","          5796142915.40","      71617","     228099","         11.58"
"ADANIENT","EQ","17-Aug-2022","       2975.85","       2986.00","       3028.55","       2980.00","       3005.00","       3008.65","       3007.02","    1510171","          4541107649.45","      57147","     287479","         19.04"
"ADANIENT","EQ","18-Aug-2022","       3008.65","       3005.00","       3186.00","       3004.00","       3157.75","       3153.65","       3113.47","    3502295","         10904277145.15","     122950","     366364","         10.46"
"ADANIENT","EQ","19-Aug-2022","       3153.65","       3178.00","       3258.90","       3075.25","       3127.00","       3130.20","       3173.83","    6109949","         19391951234.55","     229717","     718746","         11.76"
"ADANIENT","EQ","22-Aug-2022","       3130.20","       3134.00","       3191.80","       3029.20","       3056.65","       3051.60","       3118.52","    3473580","         10832426018.05","     139398","     480026","         13.82"
"ADANIENT","EQ","23-Aug-2022","       3051.60","       3032.65","       3074.00","       2927.40","       3038.70","       3030.65","       3011.45","    4169136","         12555158038.70","     157211","     533193","         12.79"
"ADANIENT","EQ","24-Aug-2022","       3030.65","       3038.00","       3153.00","       2986.00","       3151.40","       3134.65","       3058.83","    3475387","         10630611855.05","     132308","     541305","         15.58"
"ADANIENT","EQ","25-Aug-2022","       3134.65","       3167.00","       3177.80","       3055.70","       3060.10","       3066.35","       3107.36","    3119494","          9693405537.50","     113931","     556602","         17.84"
"ADANIENT","EQ","26-Aug-2022","       3066.35","       3080.00","       3172.95","       3078.00","       3148.50","       3139.55","       3135.78","    2897602","          9086254287.85","     100125","     380117","         13.12"
"ADANIENT","EQ","29-Aug-2022","       3139.55","       3055.00","       3166.45","       3037.85","       3145.00","       3142.60","       3124.04","    1924984","          6013728390.80","      78701","     197337","         10.25"
"ADANIENT","EQ","30-Aug-2022","       3142.60","       3165.00","       3263.10","       3161.00","       3192.60","       3194.35","       3211.12","    4392183","         14103846958.90","     119357","    1414525","         32.21"
"ADANIENT","EQ","01-Sep-2022","       3194.35","       3200.00","       3245.00","       3184.40","       3237.00","       3233.25","       3216.37","    1880363","          6047942599.80","      69275","     289521","         15.40"
