"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPOWER","EQ","06-Jun-2022","        284.10","        285.00","        298.30","        277.10","        298.30","        298.30","        290.85","   12813174","          3726774721.10","     138816","    5006378","         39.07"
"ADANIPOWER","EQ","07-Jun-2022","        298.30","        299.95","        302.80","        288.40","        291.00","        291.40","        295.87","   15824786","          4682145683.30","     139341","    6017459","         38.03"
"ADANIPOWER","EQ","08-Jun-2022","        291.40","        295.55","        296.80","        282.20","        285.35","        284.50","        288.18","    9228822","          2659516939.70","     129100","    3750035","         40.63"
"ADANIPOWER","EQ","09-Jun-2022","        284.50","        284.45","        290.50","        277.10","        288.00","        287.75","        284.51","    9514178","          2706889515.55","     119034","    3097016","         32.55"
"ADANIPOWER","EQ","10-Jun-2022","        287.75","        282.80","        285.35","        279.00","        279.80","        280.10","        281.74","    7245446","          2041340097.40","      90886","    3085847","         42.59"
"ADANIPOWER","EQ","13-Jun-2022","        280.10","        269.50","        275.50","        266.10","        266.10","        266.20","        270.02","   11186749","          3020668472.80","     142801","    5840449","         52.21"
"ADANIPOWER","EQ","14-Jun-2022","        266.20","        261.60","        279.50","        261.60","        268.65","        266.65","        273.06","   16393298","          4476368057.65","     166802","    4929047","         30.07"
"ADANIPOWER","EQ","15-Jun-2022","        266.65","        270.00","        275.70","        270.00","        273.00","        272.05","        272.90","    7446565","          2032135664.95","      79993","    3073915","         41.28"
"ADANIPOWER","EQ","16-Jun-2022","        272.05","        280.00","        282.55","        258.45","        259.50","        259.30","        267.65","   11754891","          3146233679.20","     132247","    5344727","         45.47"
"ADANIPOWER","EQ","17-Jun-2022","        259.30","        258.50","        267.80","        249.35","        265.00","        261.30","        258.93","   16205333","          4196003138.90","     159651","    5253496","         32.42"
"ADANIPOWER","EQ","20-Jun-2022","        261.30","        265.35","        266.80","        248.25","        248.25","        248.25","        254.48","    7398184","          1882672060.95","      96558","    3043546","         41.14"
"ADANIPOWER","EQ","21-Jun-2022","        248.25","        248.35","        258.65","        238.30","        254.45","        254.05","        249.06","   17701689","          4408787671.85","     164424","    4101659","         23.17"
"ADANIPOWER","EQ","22-Jun-2022","        254.05","        251.90","        253.00","        245.10","        246.85","        247.30","        249.40","    7198933","          1795424690.75","      76775","    2547064","         35.38"
"ADANIPOWER","EQ","23-Jun-2022","        247.30","        249.05","        258.70","        247.50","        253.00","        252.60","        253.72","    8083950","          2051065426.35","      75821","    2779282","         40.16"
"ADANIPOWER","EQ","24-Jun-2022","        252.60","        256.00","        265.20","        256.00","        265.20","        264.45","        260.71","    9307365","          2426537566.15","      81859","    3624351","         38.94"
"ADANIPOWER","EQ","27-Jun-2022","        264.45","        270.95","        277.65","        268.20","        272.45","        272.90","        273.03","   12506733","          3414722999.90","      93461","    4413160","         35.29"
"ADANIPOWER","EQ","28-Jun-2022","        272.90","        270.05","        274.80","        267.75","        270.50","        270.25","        271.30","    7019512","          1904360063.55","      66109","    2394419","         34.11"
"ADANIPOWER","EQ","29-Jun-2022","        270.25","        267.95","        274.40","        267.25","        270.00","        270.05","        271.70","    5972377","          1622668382.00","      51703","    2359622","         39.51"
"ADANIPOWER","EQ","30-Jun-2022","        270.05","        272.00","        275.65","        261.10","        262.15","        262.85","        268.41","    5613740","          1506778267.35","      65875","    2481164","         44.20"
"ADANIPOWER","EQ","01-Jul-2022","        262.85","        262.85","        264.90","        255.10","        263.70","        263.25","        261.03","    4812767","          1256282126.40","      60503","    1336780","         27.78"
"ADANIPOWER","EQ","04-Jul-2022","        263.25","        263.90","        266.50","        261.00","        261.65","        261.70","        263.08","    3109382","           818009036.30","      39527","    1346726","         43.31"
"ADANIPOWER","EQ","05-Jul-2022","        261.70","        263.40","        269.40","        262.00","        263.00","        262.75","        265.45","    3432267","           911095032.40","      39829","    1182240","         34.44"
"ADANIPOWER","EQ","06-Jul-2022","        262.75","        264.10","        265.55","        260.00","        263.60","        262.70","        262.64","    3036307","           797456718.65","      39486","    1400288","         46.12"
"ADANIPOWER","EQ","07-Jul-2022","        262.70","        265.50","        275.80","        265.05","        275.80","        275.60","        272.06","   11528099","          3136329347.80","      75561","    5202118","         45.13"
"ADANIPOWER","EQ","08-Jul-2022","        275.60","        277.90","        278.60","        269.00","        271.10","        271.55","        273.11","    7078212","          1933124076.80","      71597","    3441707","         48.62"
"ADANIPOWER","EQ","11-Jul-2022","        271.55","        270.00","        285.10","        269.25","        285.10","        285.10","        281.32","   14086766","          3962910674.40","      97413","    5199606","         36.91"
"ADANIPOWER","EQ","12-Jul-2022","        285.10","        286.80","        299.35","        286.05","        292.75","        292.75","        294.88","   22402570","          6606146660.05","     170046","    6983657","         31.17"
"ADANIPOWER","EQ","13-Jul-2022","        292.75","        298.40","        299.60","        285.00","        286.80","        286.65","        290.47","    8566423","          2488331006.10","      93159","    3900587","         45.53"
"ADANIPOWER","EQ","14-Jul-2022","        286.65","        288.00","        289.80","        277.00","        285.25","        283.70","        282.44","    6997656","          1976442089.55","      82843","    2473580","         35.35"
"ADANIPOWER","EQ","15-Jul-2022","        283.70","        286.00","        287.95","        283.25","        286.50","        286.75","        286.21","    4462588","          1277258019.00","      52012","    1834633","         41.11"
"ADANIPOWER","EQ","18-Jul-2022","        286.75","        289.40","        294.45","        286.80","        289.25","        289.85","        290.45","    5250758","          1525091033.55","      60107","    2146325","         40.88"
"ADANIPOWER","EQ","19-Jul-2022","        289.85","        286.95","        294.85","        285.25","        293.20","        293.35","        291.26","    6702529","          1952180584.20","      68432","    2672937","         39.88"
"ADANIPOWER","EQ","20-Jul-2022","        293.35","        296.00","        296.80","        288.55","        289.50","        289.90","        292.58","    4084090","          1194929891.15","      54120","    2162154","         52.94"
"ADANIPOWER","EQ","21-Jul-2022","        289.90","        290.95","        295.00","        288.45","        294.25","        294.00","        292.91","    5262525","          1541471260.55","      53248","    3160728","         60.06"
"ADANIPOWER","EQ","22-Jul-2022","        294.00","        294.95","        297.00","        290.60","        290.85","        291.30","        292.96","    3405202","           997573511.45","      44206","    1844767","         54.17"
"ADANIPOWER","BL","25-Jul-2022","        100.00","        291.30","        291.30","        291.30","        291.30","        291.30","        291.30","     910520","           265234476.00","          1","-","-"
"ADANIPOWER","EQ","25-Jul-2022","        291.30","        291.30","        295.25","        289.10","        291.80","        291.70","        292.26","    4619772","          1350193242.30","      43777","    1899381","         41.11"
"ADANIPOWER","EQ","26-Jul-2022","        291.70","        291.85","        303.40","        290.15","        297.70","        297.70","        299.19","   13020068","          3895464278.05","     109934","    5289034","         40.62"
"ADANIPOWER","EQ","27-Jul-2022","        297.70","        299.00","        312.55","        298.15","        312.55","        312.45","        306.70","   11443716","          3509774427.30","      99355","    5726271","         50.04"
"ADANIPOWER","EQ","28-Jul-2022","        312.45","        321.00","        326.90","        313.00","        320.75","        321.95","        320.89","   17123340","          5494646481.95","     147830","    6111185","         35.69"
"ADANIPOWER","EQ","29-Jul-2022","        321.95","        323.25","        325.60","        307.30","        312.80","        313.95","        317.47","   11997017","          3808735631.60","     120725","    5074886","         42.30"
"ADANIPOWER","EQ","01-Aug-2022","        313.95","        314.65","        325.00","        305.55","        320.70","        321.85","        317.61","   14035834","          4457904478.75","     137076","    4785464","         34.09"
"ADANIPOWER","EQ","02-Aug-2022","        321.85","        321.00","        332.50","        319.10","        327.50","        328.55","        327.79","   12027692","          3942545639.70","     122115","    4714007","         39.19"
"ADANIPOWER","EQ","03-Aug-2022","        328.55","        329.90","        344.95","        321.30","        340.00","        339.60","        335.73","   22014140","          7390800680.00","     157723","    7815795","         35.50"
"ADANIPOWER","EQ","04-Aug-2022","        339.60","        344.95","        354.00","        336.00","        344.70","        347.25","        346.64","   24080322","          8347152656.50","     225628","    8982367","         37.30"
"ADANIPOWER","EQ","05-Aug-2022","        347.25","        345.70","        346.40","        329.90","        329.90","        332.05","        339.06","   11631810","          3943912384.60","     157447","    5669247","         48.74"
"ADANIPOWER","BL","08-Aug-2022","        291.30","        332.05","        332.05","        332.05","        332.05","        332.05","        332.05","     910520","           302338166.00","          1","-","-"
