"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANITRANS","EQ","06-Jun-2022","       1956.05","       2016.95","       2031.00","       1925.10","       2023.15","       2017.10","       1995.92","     588718","          1175036629.35","      32055","     253993","         43.14"
"ADANITRANS","EQ","07-Jun-2022","       2017.10","       2023.15","       2079.00","       1971.10","       2043.95","       2046.00","       2048.85","     750281","          1537211590.45","      26624","     524946","         69.97"
"ADANITRANS","EQ","08-Jun-2022","       2046.00","       2060.00","       2108.00","       2022.25","       2085.00","       2091.90","       2074.36","     226173","           469163884.95","      22060","     100859","         44.59"
"ADANITRANS","EQ","09-Jun-2022","       2091.90","       2091.00","       2130.00","       2050.00","       2109.30","       2116.50","       2110.26","     481043","          1015125124.10","      15641","     375212","         78.00"
"ADANITRANS","EQ","10-Jun-2022","       2116.50","       2069.90","       2112.95","       2005.00","       2085.00","       2051.90","       2081.55","     641867","          1336079823.20","      20503","     461138","         71.84"
"ADANITRANS","EQ","13-Jun-2022","       2051.90","       2012.75","       2124.85","       2002.05","       2050.00","       2051.90","       2096.31","     592801","          1242694893.80","      21916","     412262","         69.54"
"ADANITRANS","EQ","14-Jun-2022","       2051.90","       2041.60","       2119.00","       2040.50","       2060.00","       2057.50","       2092.35","     353481","           739604357.95","      14310","     228904","         64.76"
"ADANITRANS","EQ","15-Jun-2022","       2057.50","       2086.00","       2120.00","       2038.30","       2054.00","       2057.30","       2081.29","     396775","           825802845.40","      14964","     285026","         71.84"
"ADANITRANS","EQ","16-Jun-2022","       2057.30","       2104.00","       2150.00","       2059.05","       2123.00","       2124.65","       2101.96","     596230","          1253251885.70","      25992","     315372","         52.89"
"ADANITRANS","EQ","17-Jun-2022","       2124.65","       2124.00","       2136.00","       2005.00","       2060.90","       2032.60","       2062.79","     542578","          1119223145.95","      22090","     372246","         68.61"
"ADANITRANS","EQ","20-Jun-2022","       2032.60","       2034.95","       2088.00","       2013.00","       2045.00","       2060.25","       2046.45","     366365","           749748132.60","      13214","     238948","         65.22"
"ADANITRANS","EQ","21-Jun-2022","       2060.25","       2068.00","       2260.00","       2060.25","       2219.90","       2215.05","       2172.88","     286782","           623142850.55","      20668","      87451","         30.49"
"ADANITRANS","EQ","22-Jun-2022","       2215.05","       2180.00","       2220.00","       2082.65","       2121.00","       2122.35","       2133.73","     591300","          1261675982.35","      28637","     327682","         55.42"
"ADANITRANS","EQ","23-Jun-2022","       2122.35","       2148.00","       2168.00","       2081.00","       2085.90","       2105.00","       2118.74","     463028","           981033992.85","      16884","     242345","         77.08"
"ADANITRANS","EQ","24-Jun-2022","       2105.00","       2120.00","       2168.95","       2095.05","       2146.00","       2152.10","       2127.50","     395909","           842297234.90","      18804","     278027","         70.22"
"ADANITRANS","EQ","27-Jun-2022","       2152.10","       2162.55","       2179.95","       2118.05","       2135.80","       2140.55","       2147.29","     170984","           367151922.35","      13809","      68332","         39.96"
"ADANITRANS","EQ","28-Jun-2022","       2140.55","       2150.00","       2176.15","       2102.00","       2156.00","       2163.40","       2153.74","     153729","           331091692.25","      15703","      63378","         41.23"
"ADANITRANS","EQ","29-Jun-2022","       2163.40","       2130.00","       2365.00","       2130.00","       2350.00","       2347.90","       2288.63","    1042073","          2384918850.30","      67752","     287648","         27.60"
"ADANITRANS","EQ","30-Jun-2022","       2347.90","       2355.95","       2499.90","       2355.95","       2472.00","       2473.65","       2465.81","    1018752","          2512047020.00","      69896","     234728","         23.04"
