"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASAHIINDIA","EQ","06-Jun-2022","        453.45","        453.45","        462.00","        447.05","        457.75","        459.50","        456.36","      90360","            41236429.00","      10094","      25452","         28.17"
"ASAHIINDIA","EQ","07-Jun-2022","        459.50","        459.05","        464.00","        452.50","        461.00","        460.10","        457.44","      72190","            33022317.30","       5612","      21242","         29.43"
"ASAHIINDIA","EQ","08-Jun-2022","        460.10","        461.00","        468.45","        451.35","        453.30","        454.45","        461.57","      78186","            36088293.50","       8478","      23883","         30.55"
"ASAHIINDIA","EQ","09-Jun-2022","        454.45","        451.15","        455.90","        448.95","        453.00","        453.15","        453.00","      46556","            21089893.10","       5332","      13632","         29.28"
"ASAHIINDIA","EQ","10-Jun-2022","        453.15","        447.00","        459.90","        447.00","        454.00","        454.45","        455.19","      60477","            27528652.85","       6005","      17945","         29.67"
"ASAHIINDIA","EQ","13-Jun-2022","        454.45","        445.00","        448.30","        427.15","        429.00","        430.15","        439.59","      84402","            37102221.35","      10407","      36982","         43.82"
"ASAHIINDIA","EQ","14-Jun-2022","        430.15","        430.15","        443.00","        429.00","        430.50","        430.90","        434.67","     120981","            52587004.30","       9128","      26927","         22.26"
"ASAHIINDIA","EQ","15-Jun-2022","        430.90","        432.10","        447.00","        430.90","        445.00","        444.40","        441.87","     122732","            54231244.65","      10204","      19096","         15.56"
"ASAHIINDIA","EQ","16-Jun-2022","        444.40","        447.20","        462.65","        422.65","        427.35","        427.80","        443.01","     186305","            82534853.15","      15131","      53162","         28.53"
"ASAHIINDIA","EQ","17-Jun-2022","        427.80","        427.80","        474.00","        421.30","        461.90","        464.20","        453.57","     343013","           155580304.00","      16267","      70641","         20.59"
"ASAHIINDIA","EQ","20-Jun-2022","        464.20","        463.80","        464.35","        438.00","        441.50","        444.15","        451.67","     224978","           101616715.35","      13909","      80264","         35.68"
"ASAHIINDIA","EQ","21-Jun-2022","        444.15","        450.00","        523.35","        447.30","        512.50","        516.10","        496.33","    1737942","           862585332.60","      53342","     264640","         15.23"
"ASAHIINDIA","EQ","22-Jun-2022","        516.10","        500.05","        521.90","        480.65","        489.40","        498.50","        503.00","    1331821","           669900277.90","      51603","     297708","         22.35"
"ASAHIINDIA","EQ","23-Jun-2022","        498.50","        493.70","        508.90","        476.00","        490.00","        487.40","        491.76","     526757","           259036412.25","      20616","     105886","         24.95"
"ASAHIINDIA","EQ","24-Jun-2022","        487.40","        496.90","        546.00","        495.00","        537.00","        537.80","        527.29","    2324799","          1225854091.90","      62171","     361620","         15.55"
"ASAHIINDIA","EQ","27-Jun-2022","        537.80","        544.00","        558.00","        533.30","        542.15","        544.50","        544.08","    1347101","           732936321.55","      36847","     269065","         19.97"
"ASAHIINDIA","EQ","28-Jun-2022","        544.50","        542.00","        555.65","        536.05","        546.00","        545.95","        545.13","     663725","           361818952.55","      20174","     187331","         28.22"
"ASAHIINDIA","EQ","29-Jun-2022","        545.95","        536.00","        544.60","        526.95","        530.70","        532.15","        538.78","     235711","           126997144.70","       9254","      95965","         40.71"
"ASAHIINDIA","EQ","30-Jun-2022","        532.15","        543.00","        562.00","        535.15","        536.25","        539.60","        551.72","    1123224","           619699696.40","      31680","     166154","         14.79"
"ASAHIINDIA","EQ","01-Jul-2022","        539.60","        536.80","        549.00","        530.25","        548.00","        545.25","        539.61","     261012","           140844027.15","      10335","      51050","         19.56"
"ASAHIINDIA","EQ","04-Jul-2022","        545.25","        545.00","        553.60","        536.55","        541.55","        540.10","        545.43","     180091","            98227836.25","       8270","      67522","         37.49"
"ASAHIINDIA","EQ","05-Jul-2022","        540.10","        543.80","        583.00","        541.75","        577.00","        577.15","        573.81","    1924908","          1104540804.85","      52896","     305346","         15.86"
"ASAHIINDIA","EQ","06-Jul-2022","        577.15","        574.70","        582.70","        557.15","        567.00","        568.25","        570.62","     525669","           299955204.80","      17149","      79850","         15.19"
"ASAHIINDIA","EQ","07-Jul-2022","        568.25","        573.25","        588.00","        566.00","        571.00","        573.30","        578.90","     483888","           280121436.30","      16849","     119643","         24.73"
"ASAHIINDIA","EQ","08-Jul-2022","        573.30","        574.80","        582.60","        568.00","        570.05","        571.95","        574.09","     235062","           134945963.00","      16597","      82120","         34.94"
"ASAHIINDIA","EQ","11-Jul-2022","        571.95","        573.80","        578.85","        561.15","        565.00","        566.25","        571.93","     258334","           147747716.40","      14243","      91557","         35.44"
"ASAHIINDIA","EQ","12-Jul-2022","        566.25","        564.85","        575.55","        559.20","        561.00","        563.50","        568.75","     122273","            69543066.20","       7822","      44291","         36.22"
"ASAHIINDIA","EQ","13-Jul-2022","        563.50","        566.00","        581.95","        561.90","        565.55","        566.35","        572.69","     192078","           110001466.45","       9514","      51084","         26.60"
"ASAHIINDIA","EQ","14-Jul-2022","        566.35","        567.75","        576.40","        546.50","        549.70","        550.75","        560.34","     194434","           108948827.70","      10281","      76656","         39.43"
"ASAHIINDIA","EQ","15-Jul-2022","        550.75","        554.50","        574.00","        552.50","        571.35","        568.70","        563.56","     235200","           132548591.25","      13163","      82060","         34.89"
"ASAHIINDIA","EQ","18-Jul-2022","        568.70","        575.95","        581.45","        572.00","        574.75","        577.15","        575.70","     194376","           111902477.00","       7336","     115652","         59.50"
"ASAHIINDIA","EQ","19-Jul-2022","        577.15","        576.50","        597.80","        569.45","        572.95","        573.90","        585.70","     501210","           293558914.60","      16867","     169781","         33.87"
"ASAHIINDIA","EQ","20-Jul-2022","        573.90","        579.55","        594.80","        576.30","        577.00","        579.15","        583.87","     366364","           213907503.25","      11811","     149256","         40.74"
"ASAHIINDIA","EQ","21-Jul-2022","        579.15","        581.00","        595.00","        577.30","        591.00","        592.70","        587.46","     306742","           180197417.15","      10080","     151010","         49.23"
"ASAHIINDIA","EQ","22-Jul-2022","        592.70","        594.80","        599.90","        583.00","        583.00","        585.40","        589.78","     231562","           136570954.30","       8775","      78426","         33.87"
