"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ATGL","EQ","06-Jun-2022","       2390.45","       2379.00","       2511.20","       2284.00","       2487.10","       2480.10","       2414.49","     266574","           643640748.35","      25010","      87585","         32.86"
"ATGL","EQ","07-Jun-2022","       2480.10","       2480.00","       2585.60","       2401.00","       2485.00","       2498.95","       2519.87","     430802","          1085565009.60","      28953","     160249","         37.20"
"ATGL","EQ","08-Jun-2022","       2498.95","       2480.15","       2524.90","       2426.20","       2444.00","       2447.35","       2480.19","     268958","           667068044.00","      18807","     123918","         46.07"
"ATGL","EQ","09-Jun-2022","       2447.35","       2429.00","       2515.00","       2411.30","       2483.10","       2498.05","       2471.93","     281257","           695247356.05","      15871","     149747","         53.24"
"ATGL","EQ","10-Jun-2022","       2498.05","       2430.00","       2485.00","       2370.90","       2404.90","       2398.30","       2439.90","     318811","           777867413.90","      14416","     193483","         60.69"
"ATGL","EQ","13-Jun-2022","       2398.30","       2335.10","       2407.45","       2321.30","       2354.40","       2337.55","       2359.60","     287801","           679093881.45","      14846","     165146","         57.38"
"ATGL","EQ","14-Jun-2022","       2337.55","       2325.00","       2400.00","       2302.00","       2360.00","       2374.70","       2359.85","     268064","           632590396.20","      14694","     140476","         52.40"
"ATGL","EQ","15-Jun-2022","       2374.70","       2383.70","       2419.95","       2332.00","       2339.95","       2351.80","       2379.54","     311850","           742058530.00","      18558","     169469","         54.34"
"ATGL","EQ","16-Jun-2022","       2351.80","       2375.00","       2410.00","       2241.90","       2370.00","       2376.50","       2370.15","     478333","          1133720734.70","      23833","     286360","         59.87"
"ATGL","EQ","17-Jun-2022","       2376.50","       2330.00","       2353.25","       2062.25","       2175.00","       2149.05","       2194.12","    1100784","          2415248149.55","      62053","     474374","         43.09"
