"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJFINSV","EQ","06-Jun-2022","      12691.60","      12689.00","      12689.00","      12282.05","      12538.00","      12516.40","      12437.81","     309747","          3852573902.90","      53344","      93441","         30.17"
"BAJAJFINSV","EQ","07-Jun-2022","      12516.40","      12440.00","      12449.95","      12232.35","      12319.00","      12338.70","      12329.88","     176548","          2176816165.80","      31270","      41216","         23.35"
"BAJAJFINSV","EQ","08-Jun-2022","      12338.70","      12411.00","      12645.00","      12250.00","      12418.35","      12465.00","      12456.23","     236843","          2950169987.00","      41295","      37676","         15.91"
"BAJAJFINSV","EQ","09-Jun-2022","      12465.00","      12325.50","      12517.95","      12255.00","      12455.00","      12471.00","      12424.62","     174239","          2164853107.60","      30267","      43955","         25.23"
"BAJAJFINSV","EQ","10-Jun-2022","      12471.00","      12300.00","      12380.95","      12175.65","      12220.00","      12253.50","      12273.18","     290670","          3567446545.35","      35733","     150752","         51.86"
"BAJAJFINSV","EQ","13-Jun-2022","      12253.50","      12000.00","      12000.00","      11350.00","      11428.00","      11386.05","      11558.42","     487732","          5637413382.50","      90338","     156697","         32.13"
"BAJAJFINSV","EQ","14-Jun-2022","      11386.05","      11385.00","      11577.65","      11265.05","      11356.00","      11336.50","      11426.75","     366948","          4193024056.65","      70688","      84431","         23.01"
"BAJAJFINSV","EQ","15-Jun-2022","      11336.50","      11400.00","      11870.00","      11400.00","      11815.00","      11809.70","      11714.58","     496289","          5813818722.65","      71849","      73380","         14.79"
"BAJAJFINSV","EQ","16-Jun-2022","      11809.70","      12025.00","      12069.80","      11411.05","      11450.00","      11471.90","      11688.84","     394041","          4605881226.25","      59598","      53450","         13.56"
"BAJAJFINSV","EQ","17-Jun-2022","      11471.90","      11360.05","      11864.40","      11350.00","      11788.00","      11754.85","      11680.75","     419362","          4898460587.20","      67481","      55516","         13.24"
"BAJAJFINSV","EQ","20-Jun-2022","      11754.85","      11850.00","      11850.00","      11532.05","      11710.00","      11709.65","      11702.93","     242858","          2842149829.30","      40801","      23873","          9.83"
"BAJAJFINSV","EQ","21-Jun-2022","      11709.65","      11843.80","      11927.40","      11679.90","      11731.35","      11749.90","      11796.02","     307918","          3632207442.85","      41963","      94681","         30.75"
"BAJAJFINSV","EQ","22-Jun-2022","      11749.90","      11700.00","      11700.00","      11350.00","      11453.00","      11435.55","      11448.03","     284833","          3260775769.30","      41962","      56930","         19.99"
"BAJAJFINSV","EQ","23-Jun-2022","      11435.55","      11537.50","      11589.00","      11314.85","      11566.00","      11552.85","      11502.45","     253553","          2916481740.30","      43883","      50094","         25.43"
