"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BEML","EQ","06-Jun-2022","       1375.10","       1374.80","       1374.80","       1340.10","       1341.00","       1346.70","       1351.70","      49802","            67317439.90","       5279","      20871","         41.91"
"BEML","EQ","07-Jun-2022","       1346.70","       1379.00","       1389.95","       1312.00","       1328.20","       1330.00","       1349.61","     443086","           597994420.45","      33272","      78174","         17.64"
"BEML","EQ","08-Jun-2022","       1330.00","       1339.00","       1374.00","       1327.15","       1361.00","       1358.85","       1346.52","     102622","           138182430.00","       9918","      23420","         22.82"
"BEML","EQ","09-Jun-2022","       1358.85","       1357.50","       1364.95","       1338.00","       1345.05","       1346.05","       1350.58","      52922","            71475379.00","       4944","      16780","         31.71"
"BEML","EQ","10-Jun-2022","       1346.05","       1343.50","       1345.95","       1268.00","       1279.00","       1282.70","       1295.84","     203156","           263257746.25","      16462","      74114","         36.48"
"BEML","EQ","13-Jun-2022","       1282.70","       1253.00","       1259.90","       1205.05","       1226.00","       1212.25","       1225.49","     125950","           154350316.00","       9724","      51622","         40.99"
"BEML","EQ","14-Jun-2022","       1212.25","       1212.00","       1238.95","       1202.10","       1236.90","       1226.55","       1217.53","      99821","           121534731.75","       8695","      23042","         23.08"
"BEML","EQ","15-Jun-2022","       1226.55","       1241.00","       1257.85","       1236.00","       1250.00","       1251.90","       1248.77","      81438","           101697078.00","       7898","      25165","         30.90"
"BEML","EQ","16-Jun-2022","       1251.90","       1264.95","       1270.00","       1190.00","       1190.00","       1200.65","       1224.98","     134507","           164768676.15","      14930","      64773","         48.16"
"BEML","EQ","17-Jun-2022","       1200.65","       1200.00","       1208.50","       1157.00","       1174.00","       1175.45","       1183.05","     291140","           344431923.55","      23745","      65243","         22.41"
"BEML","EQ","20-Jun-2022","       1175.45","       1199.90","       1199.90","       1107.00","       1141.30","       1146.60","       1148.37","     182854","           209983379.60","      15411","      40145","         21.95"
"BEML","EQ","21-Jun-2022","       1146.60","       1175.00","       1200.00","       1152.55","       1195.00","       1190.45","       1178.31","      93279","           109911894.45","       8320","      33662","         36.09"
"BEML","EQ","22-Jun-2022","       1190.45","       1190.00","       1238.00","       1165.55","       1207.00","       1213.90","       1207.17","     217287","           262301679.75","      15851","      64603","         29.73"
"BEML","EQ","23-Jun-2022","       1213.90","       1214.95","       1220.00","       1201.00","       1208.25","       1214.60","       1211.45","      87086","           105500357.05","       6845","      29653","         47.13"
"BEML","EQ","24-Jun-2022","       1214.60","       1220.00","       1297.80","       1214.00","       1275.00","       1261.10","       1241.41","     139955","           173740992.45","      11094","      44049","         31.47"
"BEML","EQ","27-Jun-2022","       1261.10","       1282.00","       1289.75","       1261.00","       1264.90","       1266.65","       1273.53","     181295","           230884052.55","      13209","      20806","         11.48"
"BEML","EQ","28-Jun-2022","       1266.65","       1260.10","       1287.00","       1212.50","       1261.45","       1267.20","       1253.68","     135646","           170056549.40","      10562","      11080","          8.17"
"BEML","EQ","29-Jun-2022","       1267.20","       1256.90","       1317.85","       1244.25","       1280.00","       1283.70","       1286.74","     293353","           377468211.30","      20461","      33903","         11.56"
"BEML","EQ","30-Jun-2022","       1283.70","       1279.00","       1295.00","       1250.00","       1253.40","       1255.05","       1271.31","     121283","           154188656.75","      12969","      26502","         21.85"
"BEML","EQ","01-Jul-2022","       1255.05","       1255.00","       1285.00","       1240.40","       1273.50","       1276.00","       1264.39","      76162","            96298156.25","       6858","      16251","         21.34"
"BEML","EQ","04-Jul-2022","       1276.00","       1277.90","       1283.50","       1252.00","       1256.00","       1262.95","       1265.79","      49353","            62470642.20","       7520","      10757","         21.80"
"BEML","EQ","05-Jul-2022","       1262.95","       1265.40","       1294.00","       1265.40","       1282.50","       1284.40","       1283.94","     107851","           138474013.70","       9397","      20479","         18.99"
"BEML","EQ","06-Jul-2022","       1284.40","       1274.05","       1305.00","       1271.70","       1285.05","       1287.25","       1285.40","      74395","            95627657.45","       5673","      13846","         18.61"
"BEML","EQ","07-Jul-2022","       1287.25","       1293.70","       1317.00","       1288.00","       1295.00","       1295.75","       1300.63","      62390","            81146597.80","       5772","      16645","         26.68"
"BEML","EQ","08-Jul-2022","       1295.75","       1298.00","       1324.85","       1292.00","       1300.50","       1300.00","       1309.16","     106287","           139146537.00","       7932","      24072","         22.65"
"BEML","EQ","11-Jul-2022","       1300.00","       1307.00","       1338.00","       1295.10","       1323.25","       1324.35","       1314.21","      96944","           127404920.75","       7908","      24458","         25.23"
"BEML","EQ","12-Jul-2022","       1324.35","       1317.00","       1332.00","       1305.00","       1311.00","       1316.05","       1319.72","     112929","           149035042.10","       9006","      24261","         21.48"
"BEML","EQ","13-Jul-2022","       1316.05","       1325.00","       1330.00","       1295.10","       1301.00","       1304.00","       1314.94","      63619","            83654922.75","       5465","      14717","         23.13"
"BEML","EQ","14-Jul-2022","       1304.00","       1304.00","       1315.50","       1281.00","       1286.35","       1289.65","       1296.70","      45983","            59626367.60","       4098","      15761","         34.28"
"BEML","EQ","15-Jul-2022","       1289.65","       1300.00","       1315.00","       1281.00","       1284.95","       1291.80","       1298.90","      66652","            86573968.60","       5485","      14758","         22.14"
"BEML","EQ","18-Jul-2022","       1291.80","       1299.00","       1328.45","       1292.10","       1326.00","       1324.35","       1314.01","     107416","           141145327.15","       9917","      38533","         35.87"
"BEML","EQ","19-Jul-2022","       1324.35","       1321.00","       1347.00","       1318.00","       1328.45","       1330.30","       1334.67","     100500","           134134351.45","       7773","      21760","         21.65"
"BEML","EQ","20-Jul-2022","       1330.30","       1343.00","       1374.90","       1338.60","       1349.00","       1347.70","       1356.00","     117784","           159714703.35","       9730","      49846","         42.32"
"BEML","EQ","21-Jul-2022","       1347.70","       1350.00","       1365.90","       1340.50","       1351.15","       1354.00","       1354.89","      54347","            73634243.50","       4965","      11968","         22.02"
"BEML","EQ","22-Jul-2022","       1354.00","       1354.00","       1360.00","       1317.00","       1327.00","       1329.20","       1337.53","      81812","           109426028.40","       6604","      31881","         38.97"
"BEML","EQ","25-Jul-2022","       1329.20","       1332.00","       1333.35","       1279.15","       1290.00","       1289.10","       1302.47","      97036","           126386216.90","       7786","      52954","         54.57"
"BEML","EQ","26-Jul-2022","       1289.10","       1295.00","       1304.75","       1250.00","       1254.20","       1254.40","       1267.96","     119452","           151460537.55","       6972","      77296","         64.71"
"BEML","EQ","27-Jul-2022","       1254.40","       1259.95","       1280.00","       1239.95","       1248.00","       1250.85","       1256.77","     132588","           166632373.45","       9153","      70808","         53.40"
"BEML","EQ","28-Jul-2022","       1250.85","       1258.00","       1275.05","       1252.85","       1259.90","       1259.05","       1263.76","      56199","            71022177.20","       4894","      20440","         36.37"
"BEML","EQ","29-Jul-2022","       1259.05","       1265.35","       1296.00","       1265.35","       1272.00","       1273.05","       1282.22","     166653","           213685869.15","      11376","      77540","         46.53"
"BEML","EQ","01-Aug-2022","       1273.05","       1281.00","       1338.00","       1280.95","       1329.80","       1324.20","       1318.95","     217677","           287104283.70","      16345","      95151","         43.71"
"BEML","EQ","02-Aug-2022","       1324.20","       1323.00","       1453.70","       1315.00","       1418.00","       1421.30","       1403.70","     705915","           990894800.80","      27230","     188513","         26.70"
"BEML","EQ","03-Aug-2022","       1421.30","       1445.00","       1459.60","       1403.00","       1420.00","       1431.05","       1430.90","     688307","           984899471.30","      34400","     257171","         37.36"
"BEML","EQ","04-Aug-2022","       1431.05","       1429.00","       1449.70","       1401.00","       1430.00","       1434.90","       1431.62","     238128","           340909997.65","      13003","      71802","         30.15"
"BEML","EQ","05-Aug-2022","       1434.90","       1402.00","       1437.90","       1402.00","       1421.00","       1421.90","       1421.84","     127710","           181583076.75","       7868","      54337","         42.55"
"BEML","EQ","08-Aug-2022","       1421.90","       1421.00","       1473.90","       1415.00","       1463.85","       1465.65","       1453.11","     336910","           489567611.85","      19280","     114728","         34.05"
"BEML","EQ","10-Aug-2022","       1465.65","       1473.00","       1549.00","       1462.00","       1548.00","       1535.35","       1512.03","     429299","           649112562.50","      23294","     114981","         26.78"
"BEML","EQ","11-Aug-2022","       1535.35","       1549.00","       1834.40","       1505.00","       1739.00","       1783.20","       1691.80","    2132543","          3607829675.45","      90508","     346858","         16.26"
"BEML","EQ","12-Aug-2022","       1783.20","       1730.25","       1777.00","       1693.10","       1746.70","       1753.60","       1733.26","     966929","          1675940273.35","      66965","     165099","         17.07"
"BEML","EQ","16-Aug-2022","       1753.60","       1753.65","       1770.00","       1725.05","       1750.00","       1756.65","       1751.97","     402988","           706022998.60","      23808","     110345","         27.38"
"BEML","EQ","17-Aug-2022","       1756.65","       1764.40","       1840.00","       1742.00","       1803.00","       1809.00","       1806.54","     993145","          1794157532.05","      50761","     249134","         25.09"
"BEML","EQ","18-Aug-2022","       1809.00","       1776.00","       1815.00","       1776.00","       1792.00","       1796.70","       1796.92","     320120","           575228924.85","      23667","      84299","         26.33"
"BEML","EQ","19-Aug-2022","       1796.70","       1798.00","       1847.00","       1762.10","       1814.00","       1818.15","       1809.57","     486295","           879985717.05","      32402","     133264","         27.40"
"BEML","EQ","22-Aug-2022","       1818.15","       1818.00","       1859.00","       1800.25","       1829.75","       1831.80","       1835.69","     446474","           819589399.55","      24535","     104079","         23.31"
"BEML","EQ","23-Aug-2022","       1831.80","       1828.00","       1869.00","       1820.00","       1839.00","       1839.65","       1847.54","     298492","           551477307.70","      19481","      76854","         25.75"
