"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CEATLTD","EQ","06-Jun-2022","       1015.40","       1011.85","       1019.80","        988.25","        992.00","        991.30","        998.07","      61415","            61296658.20","       4819","      28657","         46.66"
"CEATLTD","EQ","07-Jun-2022","        991.30","        991.30","        997.75","        968.00","        982.60","        977.30","        975.91","      63367","            61840718.65","       5909","      26289","         41.49"
"CEATLTD","EQ","08-Jun-2022","        977.30","        983.90","        989.35","        970.00","        982.00","        979.85","        980.20","      44020","            43148607.25","       4495","      14241","         32.35"
"CEATLTD","EQ","09-Jun-2022","        979.85","        985.00","        994.05","        972.80","        979.00","        979.70","        983.60","      52782","            51916349.30","       5156","      11616","         22.01"
"CEATLTD","EQ","10-Jun-2022","        979.70","        970.00","        979.20","        966.05","        973.00","        974.85","        973.19","      29756","            28958189.30","       3160","      11537","         38.77"
"CEATLTD","EQ","13-Jun-2022","        974.85","        960.20","        967.85","        948.40","        950.05","        951.70","        957.86","      31335","            30014572.70","       4193","      16457","         52.52"
"CEATLTD","EQ","14-Jun-2022","        951.70","        950.00","        963.90","        931.05","        935.55","        934.95","        946.82","      41958","            39726692.25","       5247","      19187","         45.73"
"CEATLTD","EQ","15-Jun-2022","        934.95","        936.95","        943.95","        935.10","        939.70","        938.95","        940.39","      26436","            24860080.55","       4512","      10847","         41.03"
"CEATLTD","EQ","16-Jun-2022","        938.95","        945.30","        962.00","        910.00","        919.00","        917.35","        942.10","     118627","           111758878.05","       9154","      16949","         14.29"
"CEATLTD","EQ","17-Jun-2022","        917.35","        912.00","        920.00","        895.25","        899.50","        899.25","        904.67","      60668","            54884777.05","       7131","      22142","         36.50"
"CEATLTD","EQ","20-Jun-2022","        899.25","        903.00","        913.90","        890.00","        896.00","        897.65","        901.98","      77121","            69561842.35","      14154","      34202","         44.35"
"CEATLTD","EQ","21-Jun-2022","        897.65","        903.00","        908.85","        896.70","        900.00","        900.35","        902.00","      37052","            33420981.45","       3567","      18814","         50.78"
"CEATLTD","EQ","22-Jun-2022","        900.35","        896.00","        928.00","        891.10","        909.80","        909.75","        918.44","     163427","           150098058.20","       5563","     114054","         69.79"
"CEATLTD","EQ","23-Jun-2022","        909.75","        915.00","        946.00","        915.00","        921.00","        926.75","        929.78","     230715","           214514933.10","      10747","     144144","         74.39"
"CEATLTD","EQ","24-Jun-2022","        926.75","        934.80","        940.70","        921.20","        926.95","        927.15","        929.42","      37155","            34532486.40","       3267","      13260","         35.69"
"CEATLTD","EQ","27-Jun-2022","        927.15","        934.25","        942.80","        922.85","        927.45","        926.00","        935.83","     191892","           179578071.95","       6055","     135384","         70.55"
"CEATLTD","EQ","28-Jun-2022","        926.00","        926.00","        952.00","        919.95","        939.90","        936.15","        936.93","      57666","            54028763.15","       5230","      14231","         24.68"
