"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHANI","EQ","06-Jun-2022","         45.60","         45.60","         46.50","         43.35","         44.50","         44.25","         44.57","    1760292","            78448533.35","      14076","     714670","         40.60"
"DHANI","EQ","07-Jun-2022","         44.25","         44.40","         45.90","         43.20","         44.75","         44.95","         44.38","    2148724","            95361482.45","      16023","     637429","         29.67"
"DHANI","EQ","08-Jun-2022","         44.95","         44.80","         45.20","         43.60","         43.90","         43.85","         44.15","    2094782","            92488464.20","      14217","     687875","         32.84"
"DHANI","EQ","09-Jun-2022","         43.85","         43.75","         44.90","         43.45","         43.90","         43.85","         44.06","    1195787","            52681194.50","       8106","     575785","         48.15"
"DHANI","EQ","10-Jun-2022","         43.85","         43.45","         43.85","         43.15","         43.65","         43.55","         43.48","     928567","            40372406.25","       7309","     368294","         39.66"
"DHANI","EQ","13-Jun-2022","         43.55","         42.90","         42.90","         41.40","         41.90","         41.85","         41.94","    1054864","            44237313.25","       7442","     561428","         53.22"
"DHANI","EQ","14-Jun-2022","         41.85","         41.50","         42.35","         39.80","         40.15","         39.90","         40.62","    2927253","           118901682.05","      13471","    1507048","         51.48"
"DHANI","EQ","15-Jun-2022","         39.90","         40.80","         40.80","         39.25","         39.95","         39.70","         39.69","    3012041","           119562845.75","       9039","    2149897","         71.38"
"DHANI","EQ","16-Jun-2022","         39.70","         40.45","         40.45","         37.75","         37.75","         37.75","         38.94","    2052666","            79923691.95","      10351","    1505321","         73.33"
"DHANI","EQ","17-Jun-2022","         37.75","         37.00","         37.35","         35.90","         35.90","         35.90","         36.19","    2739455","            99146737.95","      10539","    1569044","         57.28"
"DHANI","EQ","20-Jun-2022","         35.90","         35.10","         35.55","         34.15","         34.15","         34.15","         34.34","    1271932","            43683801.05","       4383","     686475","         53.97"
"DHANI","EQ","21-Jun-2022","         34.15","         33.00","         34.40","         32.65","         33.15","         33.20","         33.39","    4979885","           166259816.30","      15715","    2946956","         59.18"
"DHANI","EQ","22-Jun-2022","         33.20","         32.90","         32.90","         31.55","         31.55","         31.55","         31.77","    2606509","            82796205.50","       7933","    1516827","         58.19"
"DHANI","EQ","23-Jun-2022","         31.55","         31.00","         31.25","         30.00","         30.00","         30.00","         30.46","    4480819","           136491206.45","      14683","    2175003","         54.55"
"DHANI","EQ","24-Jun-2022","         30.00","         30.50","         31.50","         28.50","         29.65","         29.60","         29.70","   20057294","           595634581.65","      34550","    7049542","         35.15"
"DHANI","EQ","27-Jun-2022","         29.60","         29.65","         31.05","         28.50","         31.05","         31.00","         30.03","   13650444","           409906337.50","      21382","    7361473","         53.93"
"DHANI","EQ","28-Jun-2022","         31.00","         31.85","         32.55","         31.25","         32.55","         32.55","         32.35","    3840227","           124227514.40","       4753","    2061025","         53.67"
"DHANI","EQ","29-Jun-2022","         32.55","         33.90","         34.15","         33.15","         34.15","         34.15","         33.82","    2092285","            70753638.35","       2272","     940352","         44.94"
"DHANI","EQ","30-Jun-2022","         34.15","         35.85","         35.85","         35.85","         35.85","         35.85","         35.85","     197967","             7097116.95","        676","     197967","        100.00"
"DHANI","EQ","01-Jul-2022","         35.85","         37.60","         37.60","         34.20","         35.30","         35.35","         36.40","   20638577","           751243612.85","      37026","    5898746","         28.58"
"DHANI","EQ","04-Jul-2022","         35.35","         35.00","         35.60","         33.60","         33.60","         33.65","         34.26","    2981013","           102136879.80","      10739","    1708944","         57.33"
"DHANI","EQ","05-Jul-2022","         33.65","         33.90","         34.50","         32.65","         33.90","         34.00","         33.75","    4324391","           145931123.15","      18205","    1816549","         42.01"
"DHANI","EQ","06-Jul-2022","         34.00","         33.70","         34.30","         32.75","         33.45","         33.45","         33.41","    2192032","            73229299.50","      13205","    1243238","         56.72"
"DHANI","EQ","07-Jul-2022","         33.45","         33.50","         35.10","         33.50","         35.10","         35.10","         34.69","    4392198","           152359088.65","      14494","    2190588","         49.87"
"DHANI","EQ","08-Jul-2022","         35.10","         35.45","         35.50","         33.70","         34.15","         34.15","         34.34","    1974757","            67804485.90","       6596","    1030335","         52.18"
"DHANI","EQ","11-Jul-2022","         34.15","         34.25","         34.25","         33.40","         33.80","         33.75","         33.82","    1302736","            44059049.25","       8926","     631877","         48.50"
