"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GESHIP","EQ","06-Jun-2022","        408.70","        408.50","        410.90","        397.65","        405.45","        405.60","        402.94","     160496","            64670750.50","       4751","      91430","         56.97"
"GESHIP","EQ","07-Jun-2022","        405.60","        404.70","        413.00","        395.25","        395.25","        398.00","        404.87","     138562","            56099167.25","       4697","      66689","         48.13"
"GESHIP","EQ","08-Jun-2022","        398.00","        397.00","        414.90","        391.85","        409.00","        411.05","        404.84","     273258","           110626005.00","       8725","     133826","         48.97"
"GESHIP","EQ","09-Jun-2022","        411.05","        408.85","        427.00","        400.00","        400.90","        405.90","        413.84","     488671","           202232929.20","      10867","     151080","         30.92"
"GESHIP","EQ","10-Jun-2022","        405.90","        400.00","        403.75","        391.00","        394.90","        395.00","        397.16","     230892","            91700086.15","       8183","     114831","         49.73"
"GESHIP","EQ","13-Jun-2022","        395.00","        388.50","        388.50","        375.30","        378.25","        379.45","        379.77","     192011","            72919714.70","       7081","      93628","         48.76"
"GESHIP","EQ","14-Jun-2022","        379.45","        371.10","        385.40","        371.10","        376.60","        380.00","        377.69","     139389","            52645989.45","       5616","      58192","         41.75"
"GESHIP","EQ","15-Jun-2022","        380.00","        378.20","        402.00","        377.15","        393.00","        395.35","        393.75","     362293","           142652668.15","      11611","     116113","         32.05"
"GESHIP","EQ","16-Jun-2022","        395.35","        397.50","        401.25","        375.00","        379.50","        382.50","        384.81","     179560","            69096190.50","       8642","      67238","         37.45"
"GESHIP","EQ","17-Jun-2022","        382.50","        379.00","        399.40","        376.55","        396.00","        396.00","        390.90","     317072","           123942293.20","      12922","     136600","         43.08"
"GESHIP","EQ","20-Jun-2022","        396.00","        396.00","        398.85","        362.25","        372.00","        370.00","        372.80","     199433","            74348677.30","       9614","     104794","         52.55"
"GESHIP","EQ","21-Jun-2022","        370.00","        371.90","        379.40","        367.95","        377.00","        374.30","        373.88","      83492","            31215807.15","       4133","      32852","         39.35"
"GESHIP","EQ","22-Jun-2022","        374.30","        374.90","        379.65","        365.20","        366.40","        367.30","        372.34","      76577","            28512901.25","       4274","      35469","         46.32"
"GESHIP","EQ","23-Jun-2022","        367.30","        365.00","        377.00","        364.35","        373.70","        375.25","        370.68","     109530","            40601096.25","       6752","      44164","         50.58"
"GESHIP","EQ","24-Jun-2022","        375.25","        376.00","        380.50","        369.00","        369.70","        370.30","        372.19","     630046","           234494564.55","       6059","     572845","         90.92"
"GESHIP","EQ","27-Jun-2022","        370.30","        375.50","        377.00","        360.05","        365.05","        365.15","        364.53","     561397","           204647603.80","      17250","     450204","         80.19"
"GESHIP","EQ","28-Jun-2022","        365.15","        369.95","        397.90","        366.65","        393.20","        392.35","        383.01","     843513","           323072540.55","      26409","     200529","         23.77"
"GESHIP","EQ","29-Jun-2022","        392.35","        386.00","        403.50","        385.30","        392.00","        394.75","        395.91","     475020","           188065819.45","      14553","     127635","         26.87"
"GESHIP","EQ","30-Jun-2022","        394.75","        391.00","        396.75","        388.55","        393.85","        395.60","        393.10","     195668","            76917196.50","       5548","     106936","         54.65"
"GESHIP","EQ","01-Jul-2022","        395.60","        395.75","        398.90","        385.00","        390.25","        391.00","        390.48","     120133","            46910091.30","       3526","      58717","         48.88"
"GESHIP","EQ","04-Jul-2022","        391.00","        388.10","        399.00","        387.15","        399.00","        396.90","        392.88","     104199","            40937226.35","       3452","      59933","         57.52"
"GESHIP","EQ","05-Jul-2022","        396.90","        398.90","        417.10","        394.00","        402.00","        403.10","        405.28","     499830","           202570722.25","      12431","     267016","         53.42"
"GESHIP","EQ","06-Jul-2022","        403.10","        405.10","        413.00","        397.00","        403.05","        406.80","        405.17","     231660","            93861365.35","      10415","      99291","         42.86"
"GESHIP","EQ","07-Jul-2022","        406.80","        408.30","        409.85","        394.80","        397.50","        399.30","        400.22","     189102","            75683109.10","       9555","      92857","         49.10"
"GESHIP","EQ","08-Jul-2022","        399.30","        401.40","        408.50","        395.05","        405.50","        405.95","        401.82","     219505","            88201318.85","       8892","     102473","         46.68"
"GESHIP","EQ","11-Jul-2022","        405.95","        405.95","        420.00","        404.95","        408.50","        409.25","        412.22","     338363","           139479628.40","      13624","     138146","         40.83"
"GESHIP","EQ","12-Jul-2022","        409.25","        409.00","        413.00","        402.00","        404.00","        404.85","        407.73","     143483","            58501936.60","       5929","      85752","         59.76"
"GESHIP","EQ","13-Jul-2022","        404.85","        407.00","        413.00","        391.15","        392.20","        395.40","        402.35","     179987","            72417443.75","       6845","      98305","         54.62"
"GESHIP","EQ","14-Jul-2022","        395.40","        395.25","        401.85","        383.25","        388.65","        389.95","        392.09","     205944","            80749465.95","      12010","     109681","         53.26"
"GESHIP","EQ","15-Jul-2022","        389.95","        392.00","        400.95","        389.05","        390.55","        392.80","        393.21","     202327","            79557932.05","       5909","     119852","         59.24"
"GESHIP","EQ","18-Jul-2022","        392.80","        394.90","        416.00","        393.85","        416.00","        412.75","        409.31","     301461","           123390485.60","      11881","     152619","         50.63"
"GESHIP","EQ","19-Jul-2022","        412.75","        412.95","        459.50","        412.10","        437.40","        441.00","        449.04","    3704017","          1663243430.95","      81737","     763381","         20.61"
"GESHIP","EQ","20-Jul-2022","        441.00","        443.00","        459.40","        436.05","        454.50","        451.25","        448.72","     880536","           395113669.80","      26089","     219191","         24.89"
"GESHIP","EQ","21-Jul-2022","        451.25","        453.50","        461.00","        445.25","        454.95","        455.40","        453.52","     613096","           278051924.25","      15700","     200568","         32.71"
"GESHIP","EQ","22-Jul-2022","        455.40","        458.00","        466.95","        447.50","        459.00","        458.95","        455.55","     780303","           355465356.30","      19997","     285623","         36.60"
"GESHIP","EQ","25-Jul-2022","        458.95","        460.10","        479.50","        454.30","        465.00","        464.30","        468.49","    1188169","           556650333.25","      33397","     402834","         33.90"
"GESHIP","EQ","26-Jul-2022","        464.30","        465.00","        474.30","        449.10","        451.00","        452.85","        460.84","     418422","           192827289.75","      14702","     163516","         39.08"
"GESHIP","EQ","27-Jul-2022","        452.85","        451.80","        459.00","        450.05","        454.80","        452.60","        453.99","     257760","           117020620.35","      10094","     121086","         46.98"
"GESHIP","EQ","28-Jul-2022","        452.60","        455.80","        468.00","        448.40","        452.00","        452.50","        456.39","     281793","           128607090.95","       8580","     101700","         36.09"
"GESHIP","EQ","29-Jul-2022","        452.50","        455.90","        487.00","        453.50","        474.00","        474.20","        474.14","    1541874","           731068794.85","      40765","     480825","         31.18"
"GESHIP","EQ","01-Aug-2022","        474.20","        478.00","        507.40","        472.55","        504.00","        504.00","        492.70","    1725279","           850044008.30","      56043","     597624","         34.64"
"GESHIP","EQ","02-Aug-2022","        504.00","        504.00","        519.75","        500.00","        515.00","        515.80","        510.79","    1290890","           659373871.80","      35300","     552677","         42.81"
"GESHIP","EQ","03-Aug-2022","        515.80","        517.40","        524.95","        502.95","        514.00","        514.80","        514.92","     997577","           513675052.90","      26629","     602379","         60.38"
"GESHIP","EQ","04-Aug-2022","        514.80","        518.00","        526.95","        503.90","        514.50","        513.80","        517.07","     591366","           305777749.20","      18565","     236258","         39.95"
"GESHIP","EQ","05-Aug-2022","        513.80","        514.50","        517.55","        503.35","        507.00","        507.15","        510.98","     265385","           135606431.05","      11217","     117394","         44.24"
"GESHIP","EQ","08-Aug-2022","        507.15","        509.00","        527.00","        508.10","        518.45","        519.80","        518.11","     473382","           245263152.90","      16736","     246492","         52.07"
"GESHIP","EQ","10-Aug-2022","        519.80","        518.70","        532.30","        511.10","        520.55","        522.60","        523.30","     389790","           203976661.70","      14010","     157597","         40.43"
"GESHIP","EQ","11-Aug-2022","        522.60","        522.00","        525.35","        507.60","        520.00","        520.25","        516.09","     343002","           177018815.00","      10315","     156391","         45.59"
"GESHIP","EQ","12-Aug-2022","        520.25","        516.00","        530.00","        516.00","        524.00","        523.95","        524.55","     460138","           241367116.45","      15618","     271284","         58.96"
"GESHIP","EQ","16-Aug-2022","        523.95","        525.00","        527.00","        508.00","        512.00","        511.75","        516.12","     482543","           249048722.00","      15980","     286162","         59.30"
"GESHIP","EQ","17-Aug-2022","        511.75","        511.75","        520.00","        508.25","        514.00","        514.25","        514.56","     224935","           115743492.85","      11439","     111404","         49.53"
"GESHIP","EQ","18-Aug-2022","        514.25","        512.10","        523.00","        510.65","        515.50","        517.60","        518.21","     429315","           222477435.60","      10988","     232209","         54.09"
"GESHIP","EQ","19-Aug-2022","        517.60","        519.70","        527.00","        516.10","        516.60","        517.50","        522.01","     402305","           210006976.75","      12479","     208534","         51.83"
"GESHIP","EQ","22-Aug-2022","        517.50","        518.00","        525.00","        514.65","        522.50","        520.20","        521.58","     486284","           253634069.95","      13853","     299507","         61.59"
"GESHIP","EQ","23-Aug-2022","        520.20","        521.40","        555.00","        520.00","        554.00","        549.65","        541.84","    1267307","           686674171.80","      33828","     451517","         35.63"
"GESHIP","EQ","24-Aug-2022","        549.65","        554.00","        571.00","        538.00","        544.60","        546.60","        558.85","    1110320","           620501914.15","      34891","     334013","         30.08"
"GESHIP","EQ","25-Aug-2022","        546.60","        547.40","        559.60","        536.55","        542.00","        540.80","        547.63","     372419","           203945963.35","      12882","     117823","         31.64"
"GESHIP","EQ","26-Aug-2022","        540.80","        545.10","        558.90","        545.10","        552.00","        550.90","        551.66","     386437","           213181965.15","      11549","     129743","         33.57"
"GESHIP","EQ","29-Aug-2022","        550.90","        525.55","        559.95","        525.55","        556.35","        556.00","        547.17","     446872","           244514696.95","      17304","     186680","         41.77"
"GESHIP","EQ","30-Aug-2022","        556.00","        560.00","        583.95","        560.00","        569.00","        569.65","        571.31","     590237","           337206448.35","      18421","     272526","         46.17"
"GESHIP","EQ","01-Sep-2022","        569.65","        571.50","        580.00","        567.65","        572.60","        572.30","        573.17","     367516","           210649178.85","      12949","     173690","         47.26"
