"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HGS","EQ","06-Jun-2022","        970.00","        985.00","        985.00","        952.40","        966.10","        968.05","        964.94","      26510","            25580667.50","       3124","      13406","         50.57"
"HGS","EQ","07-Jun-2022","        968.05","        965.00","        975.00","        955.70","        965.05","        967.20","        966.17","      39731","            38386736.95","       3144","      22423","         56.44"
"HGS","EQ","08-Jun-2022","        967.20","        970.00","        972.00","        956.00","        965.80","        968.75","        968.58","      35978","            34847508.90","       2819","      22336","         62.08"
"HGS","EQ","09-Jun-2022","        968.75","        968.00","        969.00","        960.00","        967.00","        967.45","        966.14","      13181","            12734653.10","       1287","       8628","         65.46"
"HGS","EQ","10-Jun-2022","        967.45","        966.00","        999.00","        960.10","        993.00","        990.35","        987.25","     108749","           107362536.35","       8311","      38393","         35.30"
"HGS","EQ","13-Jun-2022","        990.35","        979.55","        988.70","        962.50","        982.50","        977.95","        979.93","      96174","            94244242.80","       5037","      65106","         67.70"
"HGS","EQ","14-Jun-2022","        977.95","        979.90","        985.00","        956.00","        979.95","        977.15","        978.02","      84402","            82546604.80","       4889","      57206","         67.78"
"HGS","EQ","15-Jun-2022","        977.15","        970.00","        982.45","        966.65","        967.00","        974.20","        976.45","      84000","            82021738.40","       3850","      62133","         73.97"
"HGS","EQ","16-Jun-2022","        974.20","        975.40","        987.00","        942.15","        954.60","        953.25","        962.75","      92281","            88843325.65","       5295","      56739","         61.49"
"HGS","EQ","17-Jun-2022","        953.25","        943.80","        953.10","        910.20","        950.00","        948.10","        930.06","      54520","            50707115.05","       4850","      24496","         44.93"
"HGS","EQ","20-Jun-2022","        948.10","        959.00","        968.10","        917.00","        960.00","        961.55","        933.68","     125905","           117554378.65","       6419","      86818","         68.96"
"HGS","EQ","21-Jun-2022","        961.55","        965.00","        995.00","        954.95","        986.05","        986.25","        976.42","     127191","           124191606.40","       4716","      98123","         77.15"
"HGS","EQ","22-Jun-2022","        986.25","        986.00","       1019.00","        975.00","       1006.00","       1008.00","        999.30","     258580","           258398491.50","       9900","     186178","         72.00"
"HGS","EQ","23-Jun-2022","       1008.00","        997.00","       1044.00","        997.00","       1040.00","       1037.65","       1023.54","     138380","           141637709.50","       7834","      67335","         70.97"
"HGS","EQ","24-Jun-2022","       1037.65","       1039.90","       1069.90","       1030.10","       1065.00","       1065.95","       1058.30","     110635","           117084540.55","       5343","      69304","         62.64"
"HGS","EQ","27-Jun-2022","       1065.95","       1085.00","       1103.00","       1066.00","       1081.05","       1089.10","       1090.91","     150220","           163876004.60","       6831","      88228","         58.73"
"HGS","EQ","28-Jun-2022","       1089.10","       1083.00","       1094.70","       1048.50","       1089.25","       1088.70","       1073.72","      76789","            82449621.70","       6034","      33616","         43.78"
"HGS","EQ","29-Jun-2022","       1088.70","       1072.35","       1093.00","       1062.55","       1075.30","       1084.30","       1085.77","     136187","           147867471.30","       3959","     105817","         77.70"
"HGS","EQ","30-Jun-2022","       1084.30","       1084.30","       1090.00","       1058.00","       1060.50","       1067.10","       1081.12","      89000","            96220033.65","       4475","      55372","         62.22"
"HGS","EQ","01-Jul-2022","       1067.10","       1075.00","       1080.55","       1050.05","       1074.10","       1074.95","       1074.01","     180181","           193515657.40","       4017","     148619","         82.48"
"HGS","EQ","04-Jul-2022","       1074.95","       1070.00","       1080.15","       1049.00","       1075.00","       1067.50","       1065.73","      37107","            39545866.85","       2664","      20228","         54.51"
"HGS","EQ","05-Jul-2022","       1067.50","       1070.00","       1107.00","       1064.50","       1100.00","       1100.30","       1089.81","      72994","            79549742.25","       4278","      46693","         63.97"
"HGS","EQ","06-Jul-2022","       1100.30","       1123.00","       1159.90","       1110.00","       1138.80","       1139.55","       1135.29","     166690","           189241410.30","       8426","      94761","         56.85"
"HGS","EQ","07-Jul-2022","       1139.55","       1138.50","       1170.05","       1101.15","       1160.00","       1160.30","       1143.66","     185948","           212661236.65","      10863","      85660","         46.07"
"HGS","EQ","08-Jul-2022","       1160.30","       1163.00","       1195.00","       1145.90","       1186.00","       1189.20","       1179.87","     124067","           146382616.00","       6492","      70868","         57.12"
"HGS","EQ","11-Jul-2022","       1189.20","       1189.00","       1251.95","       1167.80","       1239.10","       1245.95","       1218.35","     260536","           317425180.50","       9891","     175643","         67.42"
"HGS","EQ","12-Jul-2022","       1245.95","       1242.00","       1284.45","       1222.35","       1231.00","       1238.25","       1259.07","     314441","           395903434.05","      14540","     176640","         56.18"
"HGS","EQ","13-Jul-2022","       1238.25","       1247.90","       1272.00","       1218.50","       1263.10","       1268.40","       1248.96","     280379","           350182695.15","      13975","     174238","         62.14"
"HGS","EQ","14-Jul-2022","       1268.40","       1260.00","       1299.00","       1213.00","       1275.00","       1284.45","       1265.55","     325393","           411802480.50","      11627","     194048","         59.63"
"HGS","EQ","15-Jul-2022","       1284.45","       1280.00","       1329.00","       1275.05","       1312.10","       1323.00","       1309.14","     287642","           376563258.70","      13316","     181532","         63.11"
