"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDFCFIRSTB","EQ","06-Jun-2022","         35.35","         35.50","         35.65","         34.65","         35.20","         35.10","         35.05","   13959696","           489247502.35","      26793","    3639303","         26.07"
"IDFCFIRSTB","EQ","07-Jun-2022","         35.10","         35.05","         35.15","         34.50","         34.80","         34.70","         34.73","   12887671","           447629296.10","      23857","    3395362","         26.35"
"IDFCFIRSTB","EQ","08-Jun-2022","         34.70","         35.00","         35.40","         34.50","         34.60","         34.60","         34.80","   15761318","           548538916.70","      22832","    4103569","         26.04"
"IDFCFIRSTB","EQ","09-Jun-2022","         34.60","         34.45","         34.55","         34.10","         34.40","         34.35","         34.31","   15607035","           535549981.00","      23840","    4705175","         30.15"
"IDFCFIRSTB","EQ","10-Jun-2022","         34.35","         34.05","         34.20","         33.85","         34.15","         34.05","         34.01","   13354242","           454139028.10","      28278","    4641314","         34.76"
"IDFCFIRSTB","EQ","13-Jun-2022","         34.05","         33.55","         33.60","         32.65","         33.15","         32.90","         32.98","   22195598","           731927541.80","      48049","    8816005","         39.72"
"IDFCFIRSTB","EQ","14-Jun-2022","         32.90","         32.90","         33.55","         32.70","         33.15","         32.95","         33.05","   15187145","           501938280.45","      27611","    3390936","         22.33"
"IDFCFIRSTB","EQ","15-Jun-2022","         32.95","         33.20","         33.40","         32.60","         32.70","         32.70","         32.88","   13672546","           449544044.70","      26636","    4298874","         31.44"
"IDFCFIRSTB","EQ","16-Jun-2022","         32.70","         33.15","         33.25","         31.45","         31.60","         31.65","         32.17","   21952464","           706122082.10","      37271","    6565829","         29.91"
"IDFCFIRSTB","EQ","17-Jun-2022","         31.65","         31.65","         32.00","         30.95","         31.75","         31.65","         31.54","   24509219","           772923305.85","      35118","    6281194","         25.63"
"IDFCFIRSTB","EQ","20-Jun-2022","         31.65","         31.75","         31.75","         29.60","         29.95","         29.85","         30.20","   34964209","          1055785389.00","      53948","   13207502","         37.77"
"IDFCFIRSTB","EQ","21-Jun-2022","         29.85","         30.20","         30.55","         29.30","         30.45","         30.40","         29.89","  134703188","          4026258873.25","      86398","   60378168","         44.82"
"IDFCFIRSTB","EQ","22-Jun-2022","         30.40","         30.25","         30.25","         28.95","         29.10","         29.15","         29.40","   46451428","          1365584187.65","      64032","   12797900","         27.55"
"IDFCFIRSTB","EQ","23-Jun-2022","         29.15","         29.20","         30.80","         29.05","         29.75","         29.75","         30.05","   80490397","          2418462110.05","      67126","   16464511","         30.00"
"IDFCFIRSTB","EQ","24-Jun-2022","         29.75","         30.05","         31.35","         29.90","         30.95","         31.00","         30.47","   38180241","          1163377521.30","      34007","    9579504","         25.09"
"IDFCFIRSTB","EQ","27-Jun-2022","         31.00","         31.60","         32.40","         31.30","         32.15","         32.10","         31.88","   35294191","          1125187115.55","      45965","    6494740","         18.40"
"IDFCFIRSTB","EQ","28-Jun-2022","         32.10","         32.10","         32.15","         31.65","         32.00","         32.00","         31.93","   25536769","           815439533.70","      26102","    4140970","         16.22"
"IDFCFIRSTB","EQ","29-Jun-2022","         32.00","         31.50","         31.95","         31.20","         31.60","         31.65","         31.57","   33239529","          1049506866.15","      29630","    8645092","         26.01"
"IDFCFIRSTB","EQ","30-Jun-2022","         31.65","         31.60","         31.95","         30.95","         31.55","         31.45","         31.46","   34025020","          1070373979.00","      29298","   10081892","         29.63"
"IDFCFIRSTB","EQ","01-Jul-2022","         31.45","         31.35","         32.45","         30.60","         32.40","         32.25","         31.49","   38981951","          1227593672.00","      27272","   13292649","         34.10"
"IDFCFIRSTB","EQ","04-Jul-2022","         32.25","         32.70","         34.50","         32.60","         34.10","         34.05","         33.81","   54965927","          1858543864.80","      57066","    8903981","         16.20"
"IDFCFIRSTB","EQ","05-Jul-2022","         34.05","         34.30","         34.30","         33.25","         33.40","         33.45","         33.82","   23095367","           781055519.70","      28169","    6488337","         28.09"
"IDFCFIRSTB","EQ","06-Jul-2022","         33.45","         33.50","         34.15","         33.25","         34.00","         34.05","         33.76","   21353909","           720829852.25","      23720","    4394406","         20.58"
"IDFCFIRSTB","EQ","07-Jul-2022","         34.05","         34.40","         34.45","         33.80","         34.35","         34.30","         34.19","   18843760","           644310002.80","      22086","    4276877","         22.70"
"IDFCFIRSTB","EQ","08-Jul-2022","         34.30","         34.55","         34.55","         33.55","         33.75","         33.75","         33.91","   15979045","           541778326.85","      24476","    4446570","         27.83"
"IDFCFIRSTB","EQ","11-Jul-2022","         33.75","         33.60","         34.40","         33.40","         34.30","         34.35","         34.09","   15034381","           512532744.50","      21615","    4206710","         27.98"
"IDFCFIRSTB","EQ","12-Jul-2022","         34.35","         34.15","         34.35","         33.90","         33.95","         34.00","         34.08","   14452426","           492534473.00","      19367","    4319222","         29.89"
"IDFCFIRSTB","EQ","13-Jul-2022","         34.00","         34.00","         34.25","         33.75","         33.85","         33.90","         33.99","   10797266","           366997355.20","      15291","    2273597","         21.06"
"IDFCFIRSTB","EQ","14-Jul-2022","         33.90","         33.90","         34.20","         33.45","         33.80","         33.80","         33.79","   13243592","           447509837.45","      18121","    2861367","         21.61"
"IDFCFIRSTB","EQ","15-Jul-2022","         33.80","         33.80","         34.10","         33.05","         33.40","         33.35","         33.38","   13629015","           454927238.90","      19921","    3496851","         25.66"
"IDFCFIRSTB","EQ","18-Jul-2022","         33.35","         33.80","         34.85","         33.55","         34.80","         34.80","         34.39","   22689967","           780315387.75","      31734","    7188375","         31.68"
"IDFCFIRSTB","EQ","19-Jul-2022","         34.80","         34.30","         35.45","         34.30","         35.25","         35.25","         34.92","   18134097","           633263186.35","      23141","    4960102","         27.35"
"IDFCFIRSTB","EQ","20-Jul-2022","         35.25","         35.45","         35.85","         34.70","         34.90","         34.90","         35.29","   27813217","           981597714.05","      37082","   10967492","         39.43"
"IDFCFIRSTB","EQ","21-Jul-2022","         34.90","         35.00","         36.10","         34.80","         35.85","         35.75","         35.70","   21513383","           768017366.50","      28855","    7382700","         34.32"
"IDFCFIRSTB","EQ","22-Jul-2022","         35.75","         36.10","         36.15","         35.50","         35.75","         35.75","         35.82","   17178638","           615312848.55","      25924","    4849489","         28.23"
"IDFCFIRSTB","EQ","25-Jul-2022","         35.75","         35.75","         36.10","         35.45","         35.95","         35.95","         35.77","   17331544","           620002215.80","      22624","    4675002","         26.97"
"IDFCFIRSTB","EQ","26-Jul-2022","         35.95","         35.80","         36.20","         35.55","         35.55","         35.65","         35.81","   12528373","           448661784.05","      21507","    3825777","         30.54"
"IDFCFIRSTB","EQ","27-Jul-2022","         35.65","         35.60","         35.90","         35.35","         35.70","         35.75","         35.70","   10262914","           366424209.00","      18201","    3697791","         36.03"
"IDFCFIRSTB","EQ","28-Jul-2022","         35.75","         36.10","         37.15","         35.85","         36.60","         36.60","         36.61","   25767185","           943427750.80","      32333","    7374546","         28.62"
"IDFCFIRSTB","EQ","29-Jul-2022","         36.60","         36.95","         37.80","         36.75","         37.40","         37.55","         37.31","   27529983","          1027113826.70","      34654","    8945019","         32.49"
"IDFCFIRSTB","EQ","01-Aug-2022","         37.55","         39.00","         42.75","         38.50","         42.05","         41.95","         41.31","  181821137","          7511266022.35","     184993","   38592624","         21.23"
"IDFCFIRSTB","EQ","02-Aug-2022","         41.95","         42.00","         43.60","         41.95","         43.35","         43.40","         42.94","   93112275","          3998211372.15","     110996","   28909150","         31.05"
"IDFCFIRSTB","EQ","03-Aug-2022","         43.40","         43.60","         43.65","         41.90","         43.10","         43.15","         42.63","   59483938","          2535536664.70","      57348","   22485576","         37.80"
"IDFCFIRSTB","EQ","04-Aug-2022","         43.15","         43.15","         44.15","         42.30","         42.95","         43.05","         43.25","   48730187","          2107472191.65","      60295","   13092144","         26.87"
"IDFCFIRSTB","EQ","05-Aug-2022","         43.05","         43.05","         44.20","         43.00","         43.50","         43.40","         43.67","   42415761","          1852261220.25","      59092","   11892082","         28.04"
"IDFCFIRSTB","EQ","08-Aug-2022","         43.40","         43.40","         45.10","         43.30","         44.75","         44.65","         44.51","   60159041","          2677478737.80","      75329","   27419044","         45.58"
"IDFCFIRSTB","EQ","10-Aug-2022","         44.65","         44.70","         44.95","         43.70","         44.85","         44.80","         44.40","   52366454","          2325072562.95","      55945","   26945264","         51.46"
"IDFCFIRSTB","EQ","11-Aug-2022","         44.80","         45.50","         45.65","         44.40","         45.35","         45.25","         45.07","   58018067","          2615096171.20","      54273","   27267353","         47.00"
"IDFCFIRSTB","EQ","12-Aug-2022","         45.25","         45.20","         45.75","         44.85","         45.15","         45.10","         45.18","   36944487","          1669182133.75","      38987","   14978712","         40.54"
"IDFCFIRSTB","EQ","16-Aug-2022","         45.10","         45.25","         45.75","         45.00","         45.05","         45.10","         45.31","   26512505","          1201164632.00","      34664","   11899327","         44.88"
"IDFCFIRSTB","EQ","17-Aug-2022","         45.10","         45.30","         46.15","         45.10","         45.95","         46.00","         45.66","   32695204","          1493004795.95","      45056","   12775354","         39.07"
"IDFCFIRSTB","EQ","18-Aug-2022","         46.00","         45.85","         46.00","         45.15","         45.60","         45.50","         45.54","   26722897","          1217001925.75","      37360","    9491620","         35.52"
"IDFCFIRSTB","EQ","19-Aug-2022","         45.50","         45.50","         45.95","         44.45","         44.60","         44.65","         45.12","   31053531","          1401189743.25","      36304","    8473595","         27.29"
"IDFCFIRSTB","EQ","22-Aug-2022","         44.65","         44.40","         44.45","         43.45","         43.60","         43.65","         43.76","   21544736","           942729792.80","      29826","    6457219","         29.97"
"IDFCFIRSTB","EQ","23-Aug-2022","         43.65","         43.05","         46.45","         43.05","         46.25","         46.05","         45.25","   66535575","          3010862299.70","      66526","   27822952","         41.82"
"IDFCFIRSTB","EQ","24-Aug-2022","         46.05","         45.60","         48.85","         45.60","         48.50","         48.60","         47.78","   84936770","          4058607017.15","      89539","   31906055","         37.56"
"IDFCFIRSTB","EQ","25-Aug-2022","         48.60","         48.90","         50.40","         48.70","         48.95","         48.95","         49.56","   96561681","          4785365223.90","     112996","   33474351","         34.67"
"IDFCFIRSTB","EQ","26-Aug-2022","         48.95","         49.55","         50.20","         48.10","         48.50","         48.45","         49.03","   45123078","          2212443209.25","      53810","   13461672","         29.83"
"IDFCFIRSTB","EQ","29-Aug-2022","         48.45","         46.05","         48.85","         46.05","         48.80","         48.65","         47.86","   46097813","          2206322787.75","      58401","   12814197","         27.80"
"IDFCFIRSTB","EQ","30-Aug-2022","         48.65","         49.00","         50.10","         48.95","         49.05","         49.15","         49.36","   29760083","          1469027721.70","      45379","    8884619","         29.85"
"IDFCFIRSTB","EQ","01-Sep-2022","         49.15","         48.90","         49.90","         48.20","         49.10","         49.15","         49.13","   33861449","          1663735507.25","      52011","    6937968","         20.49"
