"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JSWENERGY","EQ","06-Jun-2022","        260.55","        265.00","        265.00","        254.00","        256.00","        255.70","        257.61","     580231","           149471673.45","      10236","     276835","         47.71"
"JSWENERGY","EQ","07-Jun-2022","        255.70","        254.00","        258.00","        251.10","        252.80","        252.90","        254.02","     438933","           111499715.00","       9264","     262157","         59.73"
"JSWENERGY","EQ","08-Jun-2022","        252.90","        255.00","        255.50","        247.00","        248.00","        248.05","        250.85","     410838","           103060507.60","       8274","     239294","         58.25"
"JSWENERGY","EQ","09-Jun-2022","        248.05","        245.55","        250.50","        242.00","        243.75","        243.50","        245.19","     695546","           170541734.35","       9566","     413563","         59.46"
"JSWENERGY","EQ","10-Jun-2022","        243.50","        242.85","        259.75","        239.55","        251.20","        247.75","        251.59","    2392238","           601867039.40","      26413","     559159","         23.37"
"JSWENERGY","EQ","13-Jun-2022","        247.75","        246.50","        247.20","        227.70","        234.00","        230.75","        234.97","     966170","           227021642.70","      22810","     468992","         48.54"
"JSWENERGY","EQ","14-Jun-2022","        230.75","        230.00","        236.75","        222.25","        226.75","        226.70","        229.09","     895076","           205053716.70","      17195","     430408","         48.09"
"JSWENERGY","EQ","15-Jun-2022","        226.70","        229.80","        229.80","        224.00","        227.00","        225.50","        226.80","     522907","           118594515.95","       7802","     286819","         54.85"
"JSWENERGY","EQ","16-Jun-2022","        225.50","        229.95","        234.00","        210.55","        213.90","        212.40","        219.81","     877792","           192946817.25","      13581","     415438","         47.33"
"JSWENERGY","EQ","17-Jun-2022","        212.40","        212.00","        219.45","        204.85","        210.50","        210.15","        210.78","    1159197","           244334128.10","      18594","     508642","         43.88"
"JSWENERGY","EQ","20-Jun-2022","        210.15","        210.15","        210.15","        182.05","        197.75","        195.50","        192.02","    2723526","           522982664.55","      26143","    1740253","         63.90"
"JSWENERGY","EQ","21-Jun-2022","        195.50","        199.80","        213.70","        192.00","        210.00","        211.35","        206.33","    1263216","           260637781.75","      18757","     393420","         31.14"
"JSWENERGY","EQ","22-Jun-2022","        211.35","        211.25","        213.40","        203.60","        204.15","        205.80","        207.91","     957767","           199127808.20","      15318","     298326","         31.15"
"JSWENERGY","EQ","23-Jun-2022","        205.80","        206.10","        211.20","        197.35","        204.00","        203.65","        204.77","     736463","           150805398.55","      11423","     196136","         37.73"
"JSWENERGY","EQ","24-Jun-2022","        203.65","        206.80","        211.40","        202.00","        208.30","        208.60","        206.56","     812251","           167776688.40","      11759","     202987","         24.99"
"JSWENERGY","EQ","27-Jun-2022","        208.60","        210.00","        220.95","        210.00","        218.00","        218.30","        217.22","    1366723","           296873663.85","      21540","     473192","         34.62"
"JSWENERGY","EQ","28-Jun-2022","        218.30","        217.75","        225.00","        211.80","        217.35","        219.45","        219.19","     892784","           195688102.00","      15200","     269202","         30.15"
"JSWENERGY","EQ","29-Jun-2022","        219.45","        214.00","        221.00","        211.45","        215.00","        216.20","        216.90","     478945","           103885482.00","       7766","     130435","         27.23"
"JSWENERGY","EQ","30-Jun-2022","        216.20","        216.85","        218.95","        205.10","        208.00","        207.95","        213.29","     729535","           155601375.50","      11834","     237405","         32.54"
"JSWENERGY","EQ","01-Jul-2022","        207.95","        204.30","        207.75","        199.00","        205.30","        204.25","        203.51","     662114","           134744615.85","      12456","     214126","         32.34"
