"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KARURVYSYA","EQ","06-Jun-2022","         48.30","         48.05","         48.15","         47.05","         47.20","         47.15","         47.50","    1708856","            81164811.05","       5839","     813541","         47.61"
"KARURVYSYA","EQ","07-Jun-2022","         47.15","         46.95","         48.85","         46.05","         48.30","         48.45","         47.55","    3324042","           158051799.95","      13286","    1712591","         51.52"
"KARURVYSYA","EQ","08-Jun-2022","         48.45","         48.60","         49.65","         48.10","         49.20","         49.25","         49.05","    2463760","           120841258.60","       9458","    1188664","         48.25"
"KARURVYSYA","EQ","09-Jun-2022","         49.25","         49.15","         49.45","         48.10","         48.45","         48.35","         48.67","    1951872","            95002736.45","       9078","     984064","         50.42"
"KARURVYSYA","EQ","10-Jun-2022","         48.35","         48.00","         48.30","         46.95","         47.15","         47.00","         47.37","    1632156","            77322805.65","       5628","     994926","         60.96"
"KARURVYSYA","EQ","13-Jun-2022","         47.00","         46.85","         46.90","         45.20","         46.50","         46.50","         46.14","    1649439","            76110005.95","       8467","     681360","         41.31"
"KARURVYSYA","EQ","14-Jun-2022","         46.50","         46.50","         47.00","         46.05","         46.55","         46.60","         46.43","    1696541","            78768201.40","      11299","     922466","         54.37"
"KARURVYSYA","EQ","15-Jun-2022","         46.60","         46.70","         46.90","         46.05","         46.55","         46.55","         46.53","    1433180","            66679124.80","       5410","    1012482","         70.65"
"KARURVYSYA","EQ","16-Jun-2022","         46.55","         47.00","         47.25","         44.50","         44.60","         44.85","         45.90","    1625846","            74619551.15","       6243","     809460","         49.79"
"KARURVYSYA","EQ","17-Jun-2022","         44.85","         44.45","         45.25","         44.00","         44.15","         44.20","         44.49","    1013078","            45068837.55","       5517","     466301","         46.03"
"KARURVYSYA","EQ","20-Jun-2022","         44.20","         44.40","         44.55","         43.00","         43.90","         43.90","         43.65","    1127640","            49219234.05","       4443","     478731","         42.45"
"KARURVYSYA","EQ","21-Jun-2022","         43.90","         44.00","         45.35","         44.00","         45.05","         45.15","         44.68","     826708","            36941180.30","       4646","     420284","         50.84"
"KARURVYSYA","EQ","22-Jun-2022","         45.15","         45.15","         45.25","         44.30","         44.55","         44.75","         44.75","    1032042","            46182277.90","       4980","     604602","         58.58"
"KARURVYSYA","EQ","23-Jun-2022","         44.75","         45.30","         45.40","         44.40","         44.70","         44.75","         44.86","     564368","            25319653.50","       3002","     169472","         44.48"
"KARURVYSYA","EQ","24-Jun-2022","         44.75","         45.30","         45.75","         44.95","         45.45","         45.45","         45.31","     479950","            21745186.90","       3184","     243593","         50.75"
"KARURVYSYA","EQ","27-Jun-2022","         45.45","         46.45","         46.45","         45.65","         45.80","         45.90","         45.97","     747094","            34341588.30","       9475","     508130","         68.01"
"KARURVYSYA","EQ","28-Jun-2022","         45.90","         45.65","         45.75","         45.20","         45.40","         45.55","         45.50","     465909","            21199022.70","       3284","     283244","         60.79"
"KARURVYSYA","EQ","29-Jun-2022","         45.55","         45.00","         45.60","         44.80","         44.80","         44.95","         45.06","    1426355","            64271076.95","      10393","    1059375","         74.27"
"KARURVYSYA","EQ","30-Jun-2022","         44.95","         44.75","         45.25","         44.10","         44.80","         44.95","         44.56","    1477042","            65812722.40","       9639","     811082","         54.91"
