"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KRBL","EQ","06-Jun-2022","        225.10","        225.50","        226.00","        218.05","        219.90","        219.25","        219.68","     257639","            56597696.30","       3941","      99893","         38.77"
"KRBL","EQ","07-Jun-2022","        219.25","        220.90","        221.40","        214.20","        215.05","        215.65","        216.26","     280951","            60759763.85","       4413","     122252","         43.51"
"KRBL","EQ","08-Jun-2022","        215.65","        217.95","        218.90","        214.25","        215.00","        215.40","        216.05","     153749","            33216708.85","       2505","      58194","         37.85"
"KRBL","EQ","09-Jun-2022","        215.40","        213.75","        217.80","        212.35","        215.95","        215.15","        215.48","      98948","            21321472.80","       2159","      34541","         34.91"
"KRBL","EQ","10-Jun-2022","        215.15","        213.00","        219.45","        213.00","        214.55","        214.95","        216.75","     238381","            51668972.80","       4432","      66928","         28.08"
"KRBL","EQ","13-Jun-2022","        214.95","        211.50","        212.75","        208.05","        211.05","        211.30","        210.60","     189169","            39838576.05","       3931","      81795","         43.24"
"KRBL","EQ","14-Jun-2022","        211.30","        208.05","        214.30","        208.00","        208.60","        209.45","        210.70","     147814","            31145101.55","       3713","      44136","         29.86"
"KRBL","EQ","15-Jun-2022","        209.45","        209.80","        212.00","        207.30","        210.50","        210.50","        209.99","     157541","            33082366.70","       3020","      68804","         43.67"
"KRBL","EQ","16-Jun-2022","        210.50","        213.65","        214.95","        202.00","        203.00","        203.55","        206.92","     201292","            41651653.55","       4564","      89323","         44.37"
"KRBL","EQ","17-Jun-2022","        203.55","        203.00","        206.50","        200.00","        203.75","        203.05","        203.56","     226827","            46172180.65","       4473","     104029","         45.86"
"KRBL","EQ","20-Jun-2022","        203.05","        204.95","        204.95","        198.00","        201.50","        201.40","        201.15","     298291","            60002357.45","       4723","     160704","         53.87"
"KRBL","EQ","21-Jun-2022","        201.40","        202.45","        209.90","        199.45","        209.90","        208.85","        206.65","     169272","            34979605.45","       4007","      85077","         50.26"
"KRBL","EQ","22-Jun-2022","        208.85","        208.00","        214.40","        205.80","        210.55","        210.70","        210.63","     200389","            42208400.15","       4732","      69490","         34.68"
"KRBL","EQ","23-Jun-2022","        210.70","        211.80","        215.00","        208.10","        214.80","        214.20","        211.53","     236398","            50005976.90","       4331","      74217","         51.51"
"KRBL","EQ","24-Jun-2022","        214.20","        217.00","        221.00","        214.75","        219.75","        220.20","        217.72","     161578","            35178787.50","       3039","      85066","         52.65"
"KRBL","EQ","27-Jun-2022","        220.20","        224.00","        227.00","        220.60","        224.65","        223.75","        223.40","     243918","            54491342.35","       4220","     123192","         50.51"
"KRBL","EQ","28-Jun-2022","        223.75","        222.00","        225.50","        217.05","        222.10","        222.65","        222.95","     104236","            23238944.35","       3018","      34769","         33.36"
"KRBL","EQ","29-Jun-2022","        222.65","        221.45","        226.85","        220.05","        223.55","        223.10","        224.69","     229630","            51596592.15","       7559","     100632","         43.82"
"KRBL","EQ","30-Jun-2022","        223.10","        223.00","        225.15","        217.05","        217.05","        217.85","        220.25","      84639","            18641949.15","       2143","      39992","         47.25"
"KRBL","EQ","01-Jul-2022","        217.85","        217.00","        218.80","        215.30","        216.70","        216.15","        217.10","      62909","            13657739.00","       1740","      24242","         38.54"
"KRBL","EQ","04-Jul-2022","        216.15","        217.00","        220.20","        217.00","        217.90","        217.75","        218.00","      65254","            14225216.15","       1958","      24518","         37.57"
"KRBL","EQ","05-Jul-2022","        217.75","        218.85","        223.95","        218.05","        221.00","        220.00","        221.40","     131317","            29073888.95","       2609","      52577","         40.04"
"KRBL","EQ","06-Jul-2022","        220.00","        221.10","        221.50","        213.75","        215.25","        215.45","        217.61","     290279","            63167366.75","       3644","     208750","         71.91"
