"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TIINDIA","EQ","06-Jun-2022","       1566.60","       1568.10","       1581.30","       1547.00","       1564.90","       1566.25","       1565.05","      54181","            84795874.80","       4699","      34410","         63.51"
"TIINDIA","EQ","07-Jun-2022","       1566.25","       1569.95","       1578.85","       1531.00","       1541.00","       1550.80","       1556.00","     287773","           447775465.30","       5150","     268687","         93.37"
"TIINDIA","EQ","08-Jun-2022","       1550.80","       1551.05","       1590.65","       1543.60","       1545.00","       1553.20","       1564.88","      29422","            46041898.25","       4202","       8472","         28.79"
"TIINDIA","EQ","09-Jun-2022","       1553.20","       1548.30","       1548.30","       1515.00","       1525.00","       1525.40","       1523.21","     339308","           516837828.70","       6942","     310033","         91.37"
"TIINDIA","EQ","10-Jun-2022","       1525.40","       1508.50","       1525.50","       1508.30","       1514.90","       1521.10","       1519.41","      63378","            96296917.10","       9448","      49778","         78.54"
"TIINDIA","EQ","13-Jun-2022","       1521.10","       1514.00","       1522.80","       1492.00","       1499.95","       1498.15","       1507.48","      57138","            86134132.90","      12698","      29889","         52.31"
"TIINDIA","EQ","14-Jun-2022","       1498.15","       1506.00","       1536.95","       1488.00","       1533.00","       1524.45","       1517.39","     356088","           540323106.60","      10102","     316243","         88.81"
"TIINDIA","EQ","15-Jun-2022","       1524.45","       1524.45","       1574.00","       1524.45","       1560.00","       1554.15","       1558.98","      76142","           118703694.30","       9138","      22087","         29.01"
"TIINDIA","EQ","16-Jun-2022","       1554.15","       1542.00","       1568.45","       1505.35","       1510.00","       1516.50","       1524.59","      98921","           150813857.60","      10682","      63846","         64.54"
"TIINDIA","EQ","17-Jun-2022","       1516.50","       1492.20","       1524.00","       1465.00","       1484.60","       1487.50","       1480.47","     800006","          1184384934.30","      10749","     256342","         32.04"
"TIINDIA","EQ","20-Jun-2022","       1487.50","       1484.70","       1560.00","       1457.60","       1541.10","       1548.20","       1496.41","     119257","           178457689.45","       8295","      78832","         66.10"
"TIINDIA","EQ","21-Jun-2022","       1548.20","       1534.10","       1564.00","       1534.10","       1551.00","       1550.85","       1549.98","      66247","           102681643.55","      10279","      35973","         54.30"
"TIINDIA","EQ","22-Jun-2022","       1550.85","       1550.85","       1556.55","       1503.00","       1513.00","       1513.70","       1538.54","      42324","            65117211.50","       8659","      26460","         62.52"
"TIINDIA","EQ","23-Jun-2022","       1513.70","       1518.00","       1530.75","       1491.00","       1518.80","       1515.20","       1514.83","      45741","            69289750.40","       8432","       8443","         56.16"
"TIINDIA","EQ","24-Jun-2022","       1515.20","       1530.00","       1596.00","       1530.00","       1594.95","       1588.65","       1572.92","     329604","           518442149.30","      14485","     272223","         82.59"
"TIINDIA","EQ","27-Jun-2022","       1588.65","       1620.00","       1658.95","       1600.00","       1624.15","       1632.80","       1620.46","     934396","          1514146812.90","      10850","     888955","         95.14"
"TIINDIA","EQ","28-Jun-2022","       1632.80","       1632.80","       1790.00","       1623.85","       1750.05","       1753.80","       1708.09","     169886","           290180468.15","      18166","      51723","         30.45"
"TIINDIA","EQ","29-Jun-2022","       1753.80","       1740.10","       1850.00","       1710.00","       1793.50","       1798.80","       1791.49","     235479","           421857422.55","      24021","      93308","         39.62"
"TIINDIA","EQ","30-Jun-2022","       1798.80","       1809.00","       1858.90","       1756.30","       1849.80","       1841.30","       1820.94","     188473","           343198954.30","      18055","      56773","         30.12"
